word,type,note,url,sefaria_ref
quarta,Latin,With J. Levy reading as Latin quarta,https://chavrutai.com/yerushalmi/Shekalim/2#3-4,Jerusalem_Talmud_Shekalim.2.3.4
γράμμα,Greek,"An Aramaic plural of Greek γράμμα, τό, “gram, scruple (as weight)”. One scruple is two oboloi",https://chavrutai.com/yerushalmi/Shekalim/2#3-5,Jerusalem_Talmud_Shekalim.2.3.5
τό,Greek,"An Aramaic plural of Greek γράμμα, τό, “gram, scruple (as weight)”. One scruple is two oboloi",https://chavrutai.com/yerushalmi/Shekalim/2#3-5,Jerusalem_Talmud_Shekalim.2.3.5
pars,Latin,"If no numbers are given, the Latin pars",https://chavrutai.com/yerushalmi/Shekalim/3#1-2,Jerusalem_Talmud_Shekalim.3.1.2
paragauda,Latin,"Rashi’s interpretation, Latin paragauda",https://chavrutai.com/yerushalmi/Shekalim/3#2-1,Jerusalem_Talmud_Shekalim.3.2.1
matrona,Latin,A post-talmudic diminutive of Latin matrona,https://chavrutai.com/yerushalmi/Shekalim/3#2-6,Jerusalem_Talmud_Shekalim.3.2.6
καταβολή,Greek,"Greek καταβολή “support, cushion”.",https://chavrutai.com/yerushalmi/Shekalim/3#3-1,Jerusalem_Talmud_Shekalim.3.3.1
κερκίς,Greek,"There is very little between them since R. Aqiba only says that R. Eliezer is more logically consistent; he does not decide that practice has to follow R. Eliezer. The weaver’s shuttle is Greek κερκίς, -ίδος. The reading of B, “the statement of Bar Pada” does not seem to make any sense; probably it is a misreading of the version of M, “a matter of invention”, i. e., of formulation.",https://chavrutai.com/yerushalmi/Shekalim/4#4-8,Jerusalem_Talmud_Shekalim.4.4.8
ίδος,Greek,"There is very little between them since R. Aqiba only says that R. Eliezer is more logically consistent; he does not decide that practice has to follow R. Eliezer. The weaver’s shuttle is Greek κερκίς, -ίδος. The reading of B, “the statement of Bar Pada” does not seem to make any sense; probably it is a misreading of the version of M, “a matter of invention”, i. e., of formulation.",https://chavrutai.com/yerushalmi/Shekalim/4#4-8,Jerusalem_Talmud_Shekalim.4.4.8
στρατιώτης,Greek,Greek στρατιώτης.,https://chavrutai.com/yerushalmi/Shekalim/5#1-22,Jerusalem_Talmud_Shekalim.5.1.22
