row,headword,sense_index,pos,etymology,definition,refs,other_refs
654,חֶלְבּוֹן,1,locative (place name),,"place whence wine came (to Tyre) יֵין ח׳; so also Assyrian n.pr.terr. Ḫibunim or Hilbunu, v. SchrCOT and Dl in Co Mod. Ḫalbûn, NW. from Damascus, Wetzst ZMG xi. 1857, 490 f. BdPal. 341.",Ezekiel 27:18,
655,חֵ֫לֶד,1,masculine,Sab. n.pr. חֿלד DHMEpigr. Denkm. 35,"one of David’s heroes, son of בַּעֲנָה A 𝔊L Αλαδ [Alad] (= חֶלְדַּי = חֵלֶב ).",I Chronicles 11:30; I Chronicles 27:15; II Samuel 23:29,
656,חֻלְדָּה,1,feminine,,"prophetess, Josiah’s time, =, 𝔊 Ολδα [Olda].",II Kings 22:14; II Chronicles 34:22,
657,חֶלְדַּי,1,masculine,,,,
658,חֹלוֹן,1,locative (place name),,,,
659,חַלְחוּל,1,locative (place name),,"town in Judah, LagOnom. 119. 7, 2nd ed. 152 Elul in tribu Iuda, cf. Alula juxta Chebron; mod. Ḥalḥûl, 1 1/2 hour (3 1/2 miles) N. from Hebron, v. Di (and reff.) Bla RobBR iii. 281 f. Guérin Judée iii. 284 ff.",Joshua 15:58,
660,חֲלִי²,1,locative (place name),,"in Asher, site unknown (v. conject. in Di).",Joshua 19:25,
661,חֵ֫לֶם,1,masculine,strength,—a returned exile = חֶלְדַּי v.,Zechariah 6:14; Zechariah 6:10,
662,חֵלֹן,1,masculine,,"a man of Zebulon; (𝔊 Χαιλων [Chailōn], 𝔊L Χελων [Chelōn]).",Numbers 1:9; Numbers 2:7; Numbers 7:24; Numbers 7:29; Numbers 10:16,
663,חֵ֫לֶף²,1,locative (place name),,"in Naphtali, site unknown.",Joshua 19:33,
664,חֶ֫לֶץ,1,masculine,vigour,,,
665,חֵ֫לֶק²,1,masculine,portion,"a Gileadite. 𝔊 Χελεγ [Cheleg], (κ [k]), Κελεζ [Kelez], etc.; 𝔊L Ελεκ [Elek].",Numbers 26:30; Joshua 17:2; Joshua 17:2,
666,חֶלְקָ֑י,1,masculine,,"priest, time of Joiakim son of Jeshua, (perhaps abbrev. for חלקיהו, (q.v.), 𝔊L Χελκιας [Chelkias] (B om.)",Nehemiah 12:15,
667,חִלְקִיָּהוּ,1,masculine,my portion is י׳,"𝔊 usually Χελκ [Chelk](ε [e])ιας, Χελχιας [ias, Chelchias];—",,
668,חֶלְקַת הַצֻּרִים,1,locative (place name),,"a place near pool of Gibeon where Ishbosheth’s men were killed by Dvd.’s men under Joab, 𝔊 Μέρις τῶν ἐπιβούλων [Meris tōn epiboulōn]; on meaning of name v. supr.",II Samuel 2:16,"BDB, חֶלְקָה"
669,חָם,1,personal name (m),,and loc. (cf. Sab. חם Hal243)—𝔊 Χαμ [Cham]:—,,
670,חֶמְדָּן,1,masculine,,"an Edomite 𝔊 Αμαδα [Amada] = חַמְרָן (𝔊 Εμερων [Emerōn], 𝔊L Αμαδαμ [Amadam]).",Genesis 36:26; I Chronicles 1:41,
671,חַמּוּאֵל,1,masculine,,v. sub.,,"BDB, חָמַם"
672,חַמּוּאֵל²,1,masculine,meaning? comp. Sab. חמא[ל] Hal215,—a Simeonite 𝔊L Αμουηλ [Amouēl].,I Chronicles 4:26,
673,חֲמוּטַל,1,feminine,,"Qr, חמיטל Kt, n.pr.f. (meaning dub.; perhaps, if Kt right, my husband’s father is the dew, cf. )—𝔊 Αμειται, Μιτατ [Ameitai, Mitat]; A Αμιταλ, Αμιταθ [Amital, Amitath]; 𝔊L Αμιταλ [Amital];—mother of the kings Jehoahaz and Zedekiah, sons of Josiah; Qr (Kt חמיטל) = Qr (Kt id.)",II Kings 23:31; II Kings 24:18; Jeremiah 52:1,"BDB, אֲבִיטָ֑ל"
674,חַמּוֹן,1,locative (place name),hot spring?,—,,
675,חֲמוֹר³,1,masculine,,"father of Shechem (he-ass; v. RSK 220; Sem i. 449)—, (×2).",Genesis 33:19; Genesis 34:2; Genesis 34:4; Genesis 34:6; Genesis 34:8; Genesis 34:13; Genesis 34:18; Genesis 34:20; Genesis 34:24; Genesis 34:26; Joshua 24:32; Judges 9:28,
676,חַמְרָן,1,masculine,,(= חֶמְדָּן q.v.),I Chronicles 1:41; Genesis 36:26,
