row,headword,sense_index,pos,etymology,definition,refs,other_refs
1,אֲבַדּוֹן,1,,,"n.f.? abstr. nearly = n.pr. (place of) Destruction, Ruin, ʾAbaddôn (cf. ܐܰܒܕܳܢܳܐ [אבדנא] 𝔊 etc.)—אֲבַדּוֹן (+ 4 times); abbrev. אבדה Kt אֲבַדּוֹ(ן) Qr †.—Place of ruin in Sheʾôl for lost or ruined dead, as development of earlier distinction of condition in Sheʾôl (v. ). Only in WisdLt; ‖ שׁאול; ‖ מות; ‖ קבר.",Proverbs 27:20; Job 28:22; Job 26:6; Proverbs 27:20; Job 31:12; Job 26:6; Proverbs 15:11; Proverbs 27:20; Job 28:22; Psalms 88:12,"BDB, שְׁאוֹל"
2,אֲבִי־עַלְבוֹן,1,masculine,,"a hero of David read אֲבִיאֵל so 𝔊, cf. DrS (WeS אבי־בעל (v. sub ); otherwise KloS.",II Samuel 23:31; I Chronicles 11:32,"BDB, אֲבִיאֵל"
3,אֲבִיאֵל,1,masculine,"Ēl is (my) father, cf. אביהו & Ph. אבבעל (fem.), also אביבעל; & אבנבעל our father etc.; Abi-ba’al KAT2 355; v. RSSem 45. NöZMG 1888, 480 makes אבי here, & in אביהו etc., cstr. but this seems unlikely; cf. also אליאב etc.; views differ much as to these n.pr. and uniform interpr. is impossible. Cf. in gen. Ol§ 277 f",,,
4,אֲבִיגַ֫יִל,1,feminine,"my father is joy (?) orig. אבגל? (אֲבִגֵל?) cf. MT infr. & NöZMG 1883, 537 Anm2",,,
5,אֲבִידָן,1,masculine,my father is judge,a prince of Benj..,Numbers 1:11; Numbers 2:22; Numbers 7:60; Numbers 7:65; Numbers 10:24,
6,אֲבִיָּ֫הוּ,1,masculine,,"& f. (Yah(u) is (my) father)—so †, = אֲבִיָּם †, (×2), (𝔊 Ἀβιου, Ἀβια [Abiou, Abia]); = אֲבִי † (𝔊 Ἀβου, Ἀβουθ [Abou, Abouth]); = אֲבִיָּה + 22 times—",II Chronicles 13:20; II Chronicles 13:21; I Kings 14:31; I Kings 15:1; I Kings 15:7; I Kings 15:8; II Kings 18:2; I Samuel 8:2,
7,אֲבִיהוּא,1,masculine,he is father,a son of Aaron; + 7 times.,Exodus 6:24; Exodus 24:1; Exodus 24:9; Exodus 28:1; Leviticus 10:1,
8,אֲבִיחַ֫יִל,1,masculine,,"& f. (my father is might, Sab. אבחיל HalMA 234)—prob. = אֲבִיהַיִל, אֲבִיהָ֑יִל —",II Chronicles 11:18; I Chronicles 2:29,
9,אֲבִיטוּב,1,masculine,my father is goodness,"son of Shaharaim, a Benjamite.",I Chronicles 8:11,
10,אֲבִיטָ֑ל,1,feminine,my father is (the) dew,a wife of David —אֲבִיָּם v..,II Chronicles 3:4; I Chronicles 3:3,"BDB, אֲבִיָּ֫הוּ"
11,אֲבִימָאֵל,1,masculine,a father is Ēl; South-Arabic name,"son of Joktan. Cf. Sab. אבמעתֿתר, Abmi ʿAṯtar a father is ʿAṯtar ([עשׁתר] v. ) HalM 86, DHMZMG 1883, 18.",Genesis 10:28; I Chronicles 1:22,"BDB, עַשְׁתֹּ֫רֶת"
12,אֲבִימֶ֫לֶךְ,1,masculine,"Melek (= Malik, Molech) is father",—אֲבִימֶ֑לֶךְ +—,Genesis 20:18,
13,אֲבִימֶ֫לֶךְ,9,feminine,,"priest, son of Abiathar error for אֲחִימֶלֶךְ q.v. (Sab. also n.pr.f. OsianderZMG 1865, 209).",I Chronicles 18:16,
14,אֲבִינָדָב,1,masculine,my father is noble,,,
15,אֲבִינֹ֫עַם,1,masculine,my father is delight,father of Barak.,Judges 4:6; Judges 4:12; Judges 5:1; Judges 5:12,
16,אֲבִינֵר,1,masculine,"my father is Nêr, or is a lamp cf.; according to LagBN 75 = אֲבֶן (= בֶּן) + נֵר = son of Ner; cf. 𝔊 Ἀβεννηρ [Abennēr]","—so only, elsewhere אַבְנֵר—cousin of Saul, and captain of his host; (×3) + 52 times 1 & 2 S +.",II Samuel 21:17; I Samuel 14:50; I Samuel 14:50; I Samuel 14:51; I Samuel 17:55; I Kings 2:5; I Kings 2:32; I Chronicles 26:28; I Chronicles 27:21,
17,אֲבִיעֶ֫זֶר,1,masculine,my father is help,—= אִיעֶזֶר —,Numbers 26:30,
18,אֲבִירָם,1,masculine,"(the) Exalted One is (my) father (v. BaeRel 156) cf. Assyrian Aburamu (?) KAT2 479 cf. DlL2, p. 91, 1. 225",,,
19,אֲבִישַׁג,1,feminine,my father is a wanderer (שׁגג)?,a handmaid of David.,I Kings 1:3; I Kings 1:15; I Kings 2:17; I Kings 2:21; I Kings 2:22,
20,אֲבִישׁוּעַ,1,masculine,"my father is rescue, or is opulence (cf. rich; also ? but v. ); LagBN 75 thinks from אֲבֶן (= בֶּן) + שׁוע cf. 𝔊 Ἀβεσσουε [Abessoue]",,Job 34:19; Job 36:19; I Chronicles 8:4,"BDB, שׁוֹעַ²; BDB, שׁוּעַ³; BDB, שָׁוַע"
21,אֲבִישׁוּר,1,masculine,"my father is a wall, Sab. אבשור HalMA 148, cf. Assyrian Abudûru DlPr 202",son of Shammai.,I Chronicles 2:28; I Chronicles 2:29,
22,אֲבִישַׁי,1,masculine,my father is Jesse; LagBN 75 thinks from אֲבֶן (= בֶּן) + ישׁי cf. 𝔊 Ἀβεσσα[ι [i]],"—א׳ (×2) + 17 times 1 & 2 S = אַבְשַׁי + 5 times 1 Ch.—grandson of Jesse; son of Zeruiah & brother of Joab (×2), + (where read יואב 𝔖 Th We Dr) + 12 times 2 S + (where insert אבישׁי 𝔊 We Dr) + 5 times 1 Ch.",I Samuel 26:6; I Samuel 26:6; II Samuel 10:10; I Samuel 26:6; I Samuel 26:7; I Samuel 26:8; I Samuel 26:9; II Samuel 2:18; II Samuel 2:24; II Samuel 20:6; II Samuel 20:7,
23,אֲבִישָׁלוֹם,1,masculine,"my father is peace; according to LagBN 75 = (בֶּן)אֲבֶן + שָׁלֹם, cf. 𝔊 Ἀβεσσαλωμ [Abessalōm]","—א׳ †, = אַבְשָׁלוֹם +, אַבְשָׁלֹם +—",I Kings 15:2; I Kings 15:10; II Samuel 3:3; II Chronicles 11:20; II Chronicles 11:21; II Samuel 13:4,
24,אֶבְיָתָר,1,masculine,"the Great One is father (?) so BäRel. 156, cf. Sab. ותר","a priest, son of Ahimelech; (×2) (read אב׳ בן־אחמלך so 𝔖 We Dr) + 22 times K 1 Ch.",I Samuel 22:20; I Samuel 22:21; I Samuel 22:22; I Samuel 23:6; I Samuel 23:9; I Samuel 30:7; II Samuel 8:17; II Samuel 1,
25,אָבֵל²,5,locative (place name),,"city in N. Isr., near Beth Maacah v = אָבֵל בֵּית מַעֲכָה v (so also v Ew Th We Klo Dr); = א׳ מַיִם (= Abil el Ḳamḥ. wheat-meadow NW. of Dan & S. of Mutulleh RobBR III, 372).",I Samuel 20:18; I Samuel 20:14; I Samuel 20:15; I Samuel 20:14; I Kings 15:20; II Kings 15:29; II Chronicles 16:4,
26,אָבֵל²,7,locative (place name),,"אָבֵל הַשִּׁטִּים n.pr.loc. (= acacia-meadow) in lowlands of Moab; = שִׁטִּים (= Tel Kefrein (?) Tristr & MerrillPESoc. 4th Statement, 89).",Numbers 33:49; Numbers 25:1; Micah 6:5,
27,אָבֵל²,9,locative (place name),,אָבֵל כְּרָמִים n.pr.loc. (= vineyard-meadow) in Ammon (v. Euseb. Ἀβελαμπελων [Abelampelōn]).,Judges 11:33,
28,אָבֵל²,11,locative (place name),,אָבֵל מְחוֹלָה n.pr.loc. (= dance-meadow); Elisha’s birthplace (v. Euseb. Ἀβελμαελαι [Abelmaelai]).,Judges 7:22; I Kings 4:12; I Kings 19:16,
29,אָבֵל²,13,locative (place name),,"אָבֵל מִצְרַיִם n.pr.loc. (= meadow of Egypt, i.e. fertile as Egypt?) E. of Jordan (where interpr. as if אֵבֶל מ׳, so 𝔊 𝔙; v. Di).",Genesis 50:11,
30,אִבְצָן,1,masculine,,"judge of Isr., (LagGN 1891, 19 (אֲ)בֶן צָן, 𝔊 Ἀβεσσαν [Abessan], 𝔖 ܐܰܒܝܨܳܢ [אביצן] ).",Judges 12:8; Judges 12:10,
31,אַבְרָם,1,masculine,"id., Thes al. exalted father","Abram, + 57 times Gn (to ) +; = אַבְרָהָם Abraham, + 172 times OT. (אברהם connected by word-play with הם of המון; really = אברם—רום = רהם which however is not found in Heb.—cf. Di > Hal RÉJ 1887, 177 f who proposes אֲבִר הַם גּוֹיִם cf. with; so that אֲבִר הָם chief of multitude is the new name of (הָם) √המה). SpiegelbergRandglossen 14 cp. Pal. n.pr. geogr. ḥḳrʾ ʾbrru = חקל אברם (c. Egyptian art. masc.), in Sheshonk list. As regards etym., Nöl.c. al. expl. as ‘the father [a divine title] is exalted’ (cf. יְהוֹרָם, מַלְכִּירָם, [אֲ]חִירָם).",Genesis 11:26; Genesis 11:27; Genesis 17:5; I Chronicles 1:27; Nehemiah 9:7; Genesis 17:5; Genesis 17:9; Genesis 17:15; Genesis 17:5; Genesis 49:24; Isaiah 41:21; Genesis 17:5,
32,אָגֵא,1,masculine,fugitive?,father of a hero of David (ins. also DrSm).,II Samuel 23:11; I Chronicles 11:13,
33,אָגוּר,1,masculine,"perhaps hireling, Ar. أَجِيرٌ [ʾajīrun] Aramaic אֲגִירָא, ܐܰܓܺܝܪܳܐ [אגירא] v. PS, As. agîru, cf. HptBAS i. 124; others gatherer, fr. i. אגר","son of יָקֶה, an author of proverbs.",Proverbs 30:1,
34,אֶגְלַ֫יִם,1,locative (place name),,"town in Moab; (meaning?);? cf. Αἰγαλειμ [Aigaleim] (Euseb.) 9 m. S. of Areopolis; v. LagOnom.228, 98; ed. 2, p. 244.",Isaiah 15:8,
35,אֲדַד,1,masculine,,v..,,"BDB, הדד"
36,אִדּוֹ,1,masculine,,a chief Israelite (×2).,Ezra 8:17,
37,אֱדוֹם,1,masculine,†אֱדֹם,n.pr.m.,Ezekiel 25:14,
38,אָדוֹן,11,,,"Adonay n.pr. of God, parallel with Yahweh, substit. for it oft. by scrib. error, & eventually supplanting it. In earlier + (19 times seeming to belong here); (prob. אֲדֹנָי י׳ as in usual phrase), + (14 times); (? יהוה) (Dalman puts most of these sub (a);—many cases are doubtful), (Mass. אדני for יהוה cf. Dalm.; Dalm. rightly questions; he reads יהוה). The phrases אֲדֹנָי אֱלֹהַי, Adonay my God; אֲדֹנָי הָאֱלֹהִים, א׳ אֱלֹהֵינוּ, א׳ הָאֵל favour taking א׳, (יהוה?) v, (×3) as the divine name.",Isaiah 3:17; Amos 7:7; Amos 7:8; Amos 9:1; Ezekiel 18:25; Ezekiel 18:29; Ezekiel 33:17; Ezekiel 33:20; Ezekiel 21:12; Zechariah 9:4; Malachi 1:12; Malachi 1:14; Lamentations 1:14; Psalms 2:4; Psalms 37:13; Psalms 78:65; Psalms 90:17; Psalms 110:5; I Kings 3:10; I Kings 3:15; II Kings 7:6; Psalms 38:16; Psalms 86:12; Daniel 9:3; Daniel 9:9; Daniel 9:15; Daniel 9:4; Daniel 1:2; Daniel 9:7; Daniel 9:8; Daniel 9:16; Daniel 9:17; Daniel 9:19,
39,אָדוֹן,13,,,"אֲדֹנָי יהוה (a) my Lord Yahweh (v. ), (JE) (J, 𝔊 om. י׳); (6times); prob.; (יָדַע כִּי אֲני א׳ י׳); inappropriate in mouth of God; del. אֲדֹנָי (Co) or read י׳ אֱלֹהֵיכֶם (Dalm.); (b) appar. n.pr. Adonay Yahweh; exil. + (10 times, but, read יהוה, 𝔊); (c) uncertain whether (a) or (b) in proph. formula אָמַר א׳ י׳; Ez (131 times); נְאֻם א׳ י׳, Ez (80 times); דְּבַר־א׳ י׳; נִשְׁבַּע א׳ י׳; כֹּה הִרְאַנִי א׳ י׳.",Genesis 15:2; Genesis 15:8; Joshua 7:7; Deuteronomy 3:24; Deuteronomy 9:26; Judges 6:22; Judges 16:28; II Samuel 7; I Kings 2:26; I Kings 8:53; Amos 3:7; Amos 3:8; Amos 7:2; Amos 7:4; Amos 7:5; Amos 9:8; Jeremiah 1:6; Jeremiah 4:10; Jeremiah 14:13; Jeremiah 32:17; Jeremiah 32:25; Ezekiel 4:14; Ezekiel 8:1; Ezekiel 9:8; Ezekiel 11:13; Ezekiel 20:39; Ezekiel 37:3; Ezekiel 13:9; Ezekiel 23:49; Ezekiel 24:24; Ezekiel 28:24; Ezekiel 29:16; Micah 1:2; Zephaniah 1:7; Obadiah 1:1; Zechariah 9:14; Psalms 71:5; Psalms 71:16; Psalms 73:28; Isaiah 25:8; Jeremiah 44:26; Isaiah 40:10; Isaiah 61:1; Isaiah 61:11; Isaiah 7:7; Isaiah 28:16; Isaiah 30:15; Isaiah 49:22; Isaiah 52:4; Isaiah 65:13; Jeremiah 7:20; Amos 1:8; Amos 3:11; Amos 5:3; Amos 7:6; Obadiah 1:1; Isaiah 56:8; Jeremiah 2:22; Amos 3:13; Amos 4:5; Amos 8:3; Amos 8:9; Amos 8:11; Ezekiel 6:3; Ezekiel 25:3; Ezekiel 36:4; Amos 4:2; Amos 6:8; Amos 7:1; Amos 7:4; Amos 8:1,"BDB, יהוה"
40,אֲדוֹרַ֫יִם,1,locative (place name),two hills?,"city in Judah (cf. Ἀδωρα, Δωρα [Adōra, Dōra], JosAnt. viii, 10, 1, xiv, 5, 3); now Dûra, W. of Hebron, RobBR II, 215.",II Chronicles 11:9,
41,אֲדַלְיָא,1,masculine,,5th son of Haman (Pers.?).,Esther 9:8,
42,אָדָם,7,masculine,,"Adam, first man (without art. cf. over ag. הַשּׂ׳ etc.) (J), (P). (, rd. לָא׳ v. Di)",I Chronicles 21:1; Job 1:6; Genesis 4:25; Genesis 5:1; Genesis 5:3; Genesis 5:4; Genesis 5:5; I Chronicles 1:1; Genesis 2:20; Genesis 3:17; Genesis 3:21,"BDB, שָׂטָן"
43,אָדָם,9,locative (place name),,city in Jordan valley (as built?.,Joshua 3:16,
44,אֲדָמָה,15,locative (place name),,city in Naphtali (as built cf. 4? = ed-Dâme?) W. of L. Gennes. v. Di.,Joshua 19:36,"BDB, אָדָם"
45,אַדְמָה,1,locative (place name),,city in Vale of Siddim.,Genesis 10:19; Genesis 14:2; Genesis 14:8; Deuteronomy 29:22; Hosea 11:8,
46,אֲדָמִי הַנֶּ֫קֶב,1,locative (place name),,"pass in Naphtali, v..",Joshua 19:33,"BDB, נָקַב"
47,אֲדֻמִּים,1,locative (place name),,v. sub.,,"BDB, מַעֲלֶה; BDB, מַעֲלֶה"
48,אַדְמָתָא,1,masculine,,"a prince of Persia & Media (cf. Pers. admâta, unrestrained).",Esther 1:14,
49,אַדָּן,1,locative (place name),,in Babylonia (v. n.pr.),Ezra 2:59,"BDB, כְּרוּב"
50,אֲדֹנִי־צֶ֫דֶק,1,masculine,,"Canaan. king of Jerusalem, (Lord of righteousness; my Lord is righteous, or my Lord is Ṣidiq—divine name—cf. מַלְכִּי צֶדֶק, אֲדֹנִיָּהוּ, Ph. אדנבעל etc.)",Joshua 10:1; Joshua 10:3,
51,אֲדֹנִיָּ֫הוּ,1,masculine,אֲדֹנִיָּה,"n.pr.m. (my Lord is Yahweh, cf. Ph. אדנאשמן, אדנבעל, אדנשמש etc., in Assyrian Adunibaʾal SchrKB II, 172)",,
52,אֲדֹנִיקָם,1,masculine,my Lord has arisen,head of a family; (אֲדֹנִיָּהוּ ).,Ezra 2:13; Ezra 8:13; Nehemiah 7:18; Nehemiah 10:17,
53,אֲדָר,1,,,"[m.] 12th (Babylonian) month = Mar.–Apr. (late Heb. loan-word, = Bab. A(d)-daru v. DlW p. 188, cf. Al3 93, meaning dub. perhaps adâru, be darkened, eclipsed, but v. DlW p. 190); cf. Palm. Nab. אדר Vog8 EutNab 24.",Esther 3:7; Esther 3:13; Esther 8:12; Esther 9:1; Esther 9:15; Esther 9:17; Esther 9:19; Esther 9:21,
54,אַדָּר,1,masculine,noble?,,,
55,אֶדְרֶ֫עִי,1,locative (place name),,"a chief city of Bashan אֶדְרֶ֖עִי; אֶדְרֶ֑עִי =; בְּעַשְׁתָּרֹת בְּאֶדְרֶ֑עִי; בְּעַשְׁתָּרֹת וּבְאֶדְרֶ֑עִי; cf.;—on identity of all these cf. Di; modern Derʿât, 7 1/2 hours WNW. of Bosra; Euseb. Ἀδραά [Adraa] (LagOnom. 213, 86, 2nd ed. 235) cf. Di WetzstHauran 47, 77, 123 BdPal 201.",Joshua 19:37; Numbers 21:33; Deuteronomy 3:1; Deuteronomy 3:10; Deuteronomy 1:4; Joshua 12:4; Joshua 13:12; Joshua 13:31; Deuteronomy 3:10; Numbers 21:23,
56,אַהֲוָא,1,locative (place name),,"town or district in Babylonia, by which a stream is designated, also the stream v (הנהר א׳), v (נְהַר א׳).",Ezra 8:15; Ezra 8:21; Ezra 8:31,
57,אֵהוּד,1,masculine,,,,
58,אָהֳלָה,1,feminine,,"Ohŏla (for אָהֳלָהּ she who has a tent, tent-woman, i.e. worshipper at tent-shrine, v. Sm) of Samaria, adulteress with Assyria (×2).",Ezekiel 23:4; Ezekiel 23:5; Ezekiel 23:36; Ezekiel 23:44,
59,אָהֳלִיאָב,1,masculine,,"Ohŏliab (Father’s tent, cf. Ph. אהלבעל, אהלמלך; Sab. אהלעתֿתר, אהלאל) chief assistant of Bezalel in construction of tabernacle, etc..",Exodus 31:6; Exodus 35:34; Exodus 36:1; Exodus 36:2; Exodus 38:23,
60,אָהֳלִיבָה,1,feminine,,Ohŏliba (= אָהֳלִיבָהּ tent in her = (in meaning) אָהֳלָה cf. Sm) of Jerusalem as adulterous wife of י׳ (×2).,Ezekiel 23:4; Ezekiel 23:11; Ezekiel 23:22; Ezekiel 23:36; Ezekiel 23:44,
61,אָהֳלִיבָמָה,1,,,Ohŏlibama (tent of the high place),,
62,אוֹבִיל,1,masculine,? camel-driver,"GFM (privately) queries whether, if genuine, name may not be theophoric (x + īl), poss. error for אַדְבְּאֵל; or Aramaic Aph. from יבל (which in any case may have influenced pronunciation).), overseer of David’s camels.",I Chronicles 27:30,
63,אוּזַי,1,masculine,,a Judæan.,Nehemiah 3:25,
64,אוּזָל,1,masculine,"Sam. איזל, 𝔊 Αἰζηλ [Aizēl]","6th son of Joktan = n.pr.loc., read מֵאוּזָל 𝔊 𝔖 Hi Sm Co; old capital of Yemen, later San’â, cf. Di.",Genesis 10:27; I Chronicles 1:21; Ezekiel 27:19; Genesis 10:27,
65,אֱוִי,1,masculine,desire?,one of five chiefs of Midian.,Numbers 31:8; Joshua 13:21,
66,אֱוִיל מְרֹדַךְ,1,masculine,"Bab. Avêl (Amêl) Maruduk, man of Merodach","son & successor of Nebuchadnezzar, king of Babylon, b.c. 562–60, (v. COT) =.",II Kings 25:27; Jeremiah 52:31,
67,אוּלַי,1,river,,"Ulai, Eulaeus (Assyrian Ulâi, cf. DlPa 329 Gr. Εὐλαιος [Eulaios]) only אוּלָ֑י, river of Elam; = (at least in lower part) mod. Karûn (old Pasitigris) v. DlPa 177.189.329; in upper part perhaps also = mod. Kerkhah (= Choaspes), which was formerly connected with Karûn not far from Susa (LoftusTrav. & Researches, 423 ff Schaff-Herz.iii. 2178, art. Shushan).",Daniel 8:2; Daniel 8:16,
68,אוּלָם²,1,masculine,,only geneal.,,
69,אוּלָם³,1,masculine,,n.m. & n.pr.m. v. sub.,,"BDB, אול²"
70,אוֹמָר,1,masculine,,grandson of Esau (eloquent?).,Genesis 36:11; Genesis 36:15; I Chronicles 1:36,
71,אוֹן³,1,locative (place name),,v..,,"BDB, אֹן"
72,אוֹנוֹ,1,locative (place name),"vigorous, for אונון","city in Benjamin; valley of same name; prob. Kefr ʿAnâ, NW. of Lydda, SurveyII, 251.",Ezra 2:33; Nehemiah 7:36; Nehemiah 11:35; I Chronicles 8:12; Nehemiah 6:2,
73,אוֹנָם,1,masculine,vigorous,,,
74,אוֹנָן,1,masculine,vigorous,son of Judah; (×2); (×2).,Genesis 38:4; Genesis 38:8; Genesis 38:9; Genesis 46:12; Numbers 26:19; I Chronicles 2:3,
75,אוֹפִיר,1,,,Ophir—א׳ +; אוֹפִ֫ירָה + אוֹפִר †; אֹפִיר † —,I Kings 10:11; I Kings 9:28; Genesis 10:29; I Kings 10:11,
76,אוֹפִיר,3,masculine,,"11th son of Joktan (J) =; 𝔊 Οὐφειρ, Ὠφειρ [Oupheir, Ōpheir], name of an Arabian tribe, vid. & Di.",Genesis 10:29; I Chronicles 1:23; Genesis 10:30,
77,אוֹפִיר,5,locative (place name),"land or city S. or SE. from Palestine, exact position unknown, cf. infr.; 𝔊 Σωφηρα, Σωφειρα, Σουφειρ [Sōphēra, Sōpheira, Soupheir], etc.; Ὠφειρ [Ōpheir] AC, cf. A Ὠφειρδε [Ōpheirde], B om.","place whither Sol.’s ships went from Ezion Geber, bringing thence gold —cf. —; gold, almug-(sandal-?) wood & gems (×2), cf.; prob. ref. to same ships; they came once in 3 years with gold, silver, ivory, apes & peacocks (all from Ophir?); makes these ships go to Tarshish (but on Tarshish-ships, i.e. large, sea-going vessels, merchantmen, v. & sub תַּרְשִׁישׁ).",Job 28:16; I Kings 22:49; I Kings 9:28; I Kings 22:49; II Chronicles 8:18; I Kings 10:11; II Chronicles 9:10; I Kings 10:22; II Chronicles 9:21; I Kings 22:49,
78,אוּר²,1,masculine,flame,father of one of David’s heroes (iii. אוּר n.pr.loc. v. infr.)—iii. אוּר in אוּר כַּשְׂדִּים. Ur of the Chaldees.,I Chronicles 11:35; Genesis 11:28; Genesis 11:31; Genesis 15:7; Nehemiah 9:7,
79,אוּר³,1,locative (place name),,"Ur (Bab. Uru; seat of moon-god worship; hence Eupolemos in EusebPraep. Ev. ix. 17 says Καμαρίνῃ ἥν τινας λέγειν πόλιν Οὐρίην [Kamarinē hēn tinas legein polin Ouriēn]), ancient city in Southern Babylonia; OT always אוּר כַּשְׂדִּים, i.e. Ur of the Kasdim (Chaldeans) v. sub; home of Terah, Abram’s father, & A.’s point of departure for Mesopotamia & Canaan; (both J), & hence; also (P);—mod. Muqayyar, south of Euphrates, c. 150 miles SE. of Babylon; v. KG94 f DlPa 226 f COT on.",Genesis 11:28; Genesis 15:7; Nehemiah 9:7; Genesis 11:31; Genesis 11:28,"BDB, כַּשְׂדִּים; BDB, כֶּ֫שֶׂד"
80,אוּרִי,1,masculine,"fiery, or contr. for אוּרִיָּה",,,
81,אוּרִיאֵל,1,masculine,"flame of Ēl or my light is Ēl, v. sub; cf. Ph. ארמלך in Assyrian Urumilki (SenTaylor Cylind. ii. 50, cf. COT )",,II Kings 18:13,"BDB, אֵל⁴; BDB, אֵל⁴"
82,אוּרִיָּה,1,masculine,flame of Yah or my light is Yah v.,,,"BDB, יָהּ"
83,אוּרִיָּ֫הוּ,1,masculine,flame of Yahweh or my light is Yahweh v.,a prophet slain by Jehoiakim.,Jeremiah 26:20,"BDB, יהוה"
84,אֶזְבָּ֑י,1,masculine,,father of one of David’s men (where בֶּן־אֶזְבָּ֑י = הָאַרְבִּי ).,I Chronicles 11:37; II Samuel 23:35,
85,אֻזֵּן שֶׁאֱרָה,1,locative (place name),"portion—weighed & measured—of Sheʾĕra, BlauZMG 1873, 296","place built by שׁ׳, daughter of Ephraim.",I Chronicles 7:24,
86,אַזְנוֹת תָּבוֹר,1,locative (place name),peaks of Tabor? pl.,place in Naphtali cf. Di.,Joshua 19:34,
87,אַחְאָב,1,masculine,,"Ahab (father’s brother; = אחיאב NöZMG 1886, 172, Ἀχίαβος [Achiabos] was a nephew of Herod.; cf. like name in Syriac, given ob maximum cum patre suo similitudinem, Bar HebræusChron. Ecclesiast. ii. 23 cf. LCB 1879, 1339. In many cases, however, the meaning of n.pr. comp. with אח is dub., & perfect consistency, especially in comparison with cpds. of אָב, seems impossible; cf. rem. sub אביאל, and further WeSkizzen, iii. 1 f, DlPr. cap. vi)—אַחְאָב +; וּכְאֶחָב —",I Kings 16:28; Jeremiah 29:22,
88,אַחְבָּן,1,masculine,brother of an intelligent one,"son of Abishur, of Judah.",I Chronicles 2:29,
89,אֵחוּד,1,masculine,union from אֱחוּד?,a Benjamite = אֵחִי.,I Chronicles 8:6; Genesis 46:21,
90,אֲחוּמַי,1,masculine,,descendant of Judah.,I Chronicles 4:2,
91,אָחָז,1,masculine,"he hath grasped, abbrev. for יהואחז (q.v.) cf. Assyrian Ia-u-ḫa-zi (i.e. Ahaz) COT on",,II Kings 16:8,
92,אֲחַזְיָ֫הוּ,1,masculine,"Yah(u) hath grasped; 𝔊 Ὀχοζ [Ochoz](ε [e])ιας [ias] etc., cf. LagBN 53",,I Kings 22:52,
93,אֲחֻזָּם,1,masculine,possessor,a man of Judah.,I Chronicles 4:6,
94,אֵחִי,1,masculine,,a son of Benjamin (P) (perhaps corruption of אֲהִירָם (P); so also אַחֲרַח cf. & comm.),Genesis 46:21; Numbers 26:38; I Chronicles 8:1; I Chronicles 7:12,"BDB, אַחֵר²"
95,אֲחִיאָם,1,masculine,,one of David’s heroes.,II Samuel 23:33; I Chronicles 11:35,
96,אֲחִיָּ֫הוּ,1,masculine,,"† אֲחִיָּ֫הוּ, אֲחִיָּה (always, except where other form noted), אֲחִי n.pr.m. (brother of Yah(u), cf. Ph. חמלך brother of Milk, & especially אחתמלך sister of Milk, where אחת must be cstr. since מלך is a male deity; cf. Carth. חתמלקרת Euting 213).",,
97,אֲחִיָּ֫הוּ,11,feminine,,"grandson of Hezron, or perhaps n.pr.f., mother of preceding four, cf. Be.",I Chronicles 2:25,
98,אֲחִיהוּד,1,masculine,,"prince of Asher; (brother of majesty, cf.; v. also ).",Numbers 34:27,"BDB, הוֹד²; BDB, אֲבִיהוּד; BDB, אֲחִיחֻד"
99,אֲחִיחֻד,1,masculine,prob. = אחיהוד q.v.,"son of Ehud, a Benjamite.",I Chronicles 8:7,
100,אֲחִיטוּב,1,masculine,my brother is goodness,,,
101,אֲחִילוּד,1,masculine,according to Thes = אֲחִי יְלוּד child’s brother (?),,,
102,אֲחִימֶ֫לֶךְ,1,masculine,"brother of Melek, Ph. חמלך, חמלכת; v. also supr.",,,"BDB, אֲחִיָּ֫הוּ"
103,אֲחִימַן,1,masculine,my brother is a gift? so Thes; cf. Arabic مَنٌّ [mannun],,,
104,אֲחִימַ֫עַץ,1,masculine,my brother is wrath,,,
105,אַחְיָן,1,masculine,"fraternal, Aramaic ܐܚܝܳܢܳܐ [אחינא]",a Manassite.,I Chronicles 7:19,
106,אֲחִינָדָב,1,masculine,my brother is noble,an officer of Solomon.,I Kings 4:14,
107,אֲחִינֹ֫עַם,1,feminine,my brother is delight,,,
108,אֲחִיסָמָךְ,1,masculine,my brother has supported,"father of Oholiab, a workman on tabern..",Exodus 31:6; Exodus 35:34; Exodus 38:23,
109,אֲחִיעֶ֫זֶר,1,masculine,"my brother is help, cf. Assyrian Aḫulêʾte, my brother is strength, DlPr 202",,,
110,אֲחִיקָם,1,masculine,my brother has arisen,"son of Shaphan, Josiah’s time; protector of Jerem.; father of Gedaliah.",II Kings 22:12; II Kings 22:14; II Chronicles 34:20; Jeremiah 26:24; II Kings 25:22; Jeremiah 39:14; Jeremiah 40:5; Jeremiah 40:6; Jeremiah 40:7; Jeremiah 40:9; Jeremiah 40:11; Jeremiah 40:14; Jeremiah 40:16; Jeremiah 41:1; Jeremiah 41:2; Jeremiah 41:6; Jeremiah 41:10; Jeremiah 41:16; Jeremiah 41:18; Jeremiah 43:6,
111,אֲחִירַע,1,masculine,my brother is evil,a chief of Naphtali.,Numbers 1:15; Numbers 2:29; Numbers 7:78; Numbers 7:83; Numbers 10:27,
