rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
938,R' Elazar ben R' Menaḥem,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Rebbi Menaḥem
939,R' Ze'ira the Tanna,1,0.0023,,,,,,,none,0,,Rebbi Zeïra the Tanna
940,the brother of Rav Ḥiyya bar Ashi,1,0.0023,,,,,,,none,0,,the brother of Rav Ḥiyya bar Ashi
941,R' Zabida the son of R' Ya'akov bar Zabdi,1,0.0023,,,,,,,none,0,,Rebbi Zabida the son of Rebbi Jacob bar Zabdi
942,Shimon ben Abba,1,0.0023,,,,,,,none,0,,Simeon ben Abba
943,"R' Ḥananiah, the son of R' Ada",1,0.0023,,,,,,,none,0,,"Rebbi Ḥananiah, the son of Rebbi Ada"
944,R' Tanḥum the son of R' Ḥiyya,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum the son of Rebbi Ḥiyya
945,R' Yose bar R' Abin,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Rebbi Abin
946,R' Nachman,1,0.0023,Rav Naḥman,1365,1.9255,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%A0%D7%97%D7%9E%D7%9F,רב נחמן,Q2124832,fuzzy_edit,45,"lev=1 key=""nachman""→""nahman""",Rebbi Nachman
947,R' Yehudah bar Zebida,1,0.0023,,,,,,,none,0,,Rebbi Yehudah bar Zebida
948,R' Ayvu,1,0.0023,,,,,,,none,0,,Rebbi Ayvu
949,R' Elazar bar Avina,1,0.0023,,,,,,,none,0,,Rebbi Eleazar bar Avina
950,R' Ḥalafta ben Shaül,1,0.0023,,,,,,,none,0,,Rebbi Ḥalaphta ben Shaül
951,R' Shmuel bar Inia,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Inia
952,"R' Elazar, the son of R' Yose",1,0.0023,"R' Elazar, son of R' Yosei",22,0.0310,,,,exact,100,,"Rebbi Eleazar, the son of Rebbi Yose"
953,R' Aḥiyya ben R' Ze'ira,1,0.0023,,,,,,,none,0,,Rebbi Aḥiyya ben Rebbi Zeïra
954,R' Abba ben R' Aḥa,1,0.0023,,,,,,,none,0,,Rebbi Abba ben Rebbi Aḥa
955,R' Uri,1,0.0023,,,,,,,none,0,,Rebbi Uri
956,Symmachos bar Yosef,1,0.0023,,,,,,,none,0,,Symmachos bar Joseph
957,R' Shimon ben Jehozadak,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Jehozadak
958,R' Zeiïa,1,0.0023,R' Zeira,668,0.9423,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%96%D7%99%D7%A8%D7%90,רבי זירא,Q7296294,fuzzy_edit,45,"lev=1 key=""zeiia""→""zeira""",Rebbi Zeiïa
959,R' Ḥanina bar Pappai,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina bar Pappai
960,Yehoshua ben Qorḥah,1,0.0023,,,,,,,none,0,,Joshua ben Qorḥah
961,R' Ya'akov ben R' Idi,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Rebbi Idi
962,Abba bar Jeremiah,1,0.0023,,,,,,,none,0,,(Rebbi) Abba [bar Jeremiah]
963,Elisha of the bird’s wings,1,0.0023,,,,,,,none,0,,Elisha of the bird’s wings
964,R' Shimon bar Yose bar Laqonia,1,0.0023,,,,,,,none,0,,Rebbi Simeon bar Yose bar Laqonia
965,Rabbi Ḥanina,1,0.0023,R' Ḥanina,392,0.5530,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%A8_%D7%97%D7%9E%D7%90,רבי חנינא בר חמא,Q1062209,exact,100,,Rabbi Ḥanina
966,R' Shmuel bar Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Ḥanina
967,Rav Naḥman bar Ada,1,0.0023,,,,,,,none,0,,Rav Naḥman bar Ada
968,Rabbis,1,0.0023,R',1908,2.6915,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%99%D7%94%D7%95%D7%93%D7%94_%D7%94%D7%A0%D7%A9%D7%99%D7%90,רבי יהודה הנשיא,Q380427,fuzzy_edit,45,"lev=1 key=""rabbis""→""rabbi""",Rebbis say
969,"R' Yudan, the son of R' Aivu",1,0.0023,,,,,,,none,0,,"Rebbi Yudan, the son of Rebbi Aivu"
970,Ḥanina the son of R' Abbahu,1,0.0023,,,,,,,none,0,,Ḥanina the son of Rebbi Abbahu
971,R' Yudan the son of R' Aivu,1,0.0023,,,,,,,none,0,,Rebbi Yudan the son of Rebbi Aivu
972,R' Aḥa the Great,1,0.0023,,,,,,,none,0,,the great Rebbi Aḥa
973,R' Elazar the son of R' Yannai,1,0.0023,,,,,,,none,0,,Rebbi Eleazar the son of Rebbi Yannai
974,R' Ya'akov bar Savdi,1,0.0023,,,,,,,none,0,,Rebbi Jacob bar Savdi
975,Rav Yitzḥak bar Rav Meshirshia,1,0.0023,,,,,,,none,0,,Rav Isaac bar Rav Meshirshia
976,Binyamin from Ginzak,1,0.0023,,,,,,,none,0,,Benjamin from Ginzak
977,R' Shmuel the Cappadocian,1,0.0023,,,,,,,none,0,,Rebbi Samuel the Cappadocian
978,father of R' Oshaya,1,0.0023,,,,,,,none,0,,father of Rebbi Oshaya
979,R' Abun bar R' Ḥiyya,1,0.0023,,,,,,,none,0,,Rebbi Abun bar Rebbi Ḥiyya
980,R' Yehudah ben Pappos,1,0.0023,,,,,,,none,0,,Rebbi Yehudah ben Pappos
981,R' Yassa,1,0.0023,,,,,,,none,0,,Rebbi Yassa
982,father-in-law of R' Yannai the younger,1,0.0023,,,,,,,none,0,,The father-in-law of Rebbi Yannai the younger
983,R' Nehemiah the son of R' Ḥiyya bar Abba,1,0.0023,"R' Abba, son of R' Ḥiyya bar Abba",16,0.0226,,,,token_subset,95,"key=""nehemiah son of hiyya ben abba"" ⊆ bavli=""abba son of hiyya ben abba""",Rebbi Nehemiah the son of Rebbi Ḥiyya bar Abba
984,Gedilah,1,0.0023,,,,,,,none,0,,Gedilah
985,king Diocletian,1,0.0023,,,,,,,none,0,,king Diocletian
986,R' Yasa bar Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Yasa bar Ḥanina
987,R' Yose bar Nahoraï,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Nahoraï
988,R' Elazar bar Shimon,1,0.0023,,,,,,,none,0,,Rebbi Eleazar bar Simeon
989,Tanḥum ben R' Ḥiyya,1,0.0023,,,,,,,none,0,,Tanḥum ben Rebbi Ḥiyya
990,"R' Zevadiah, the son of R' Ya'akov bar Zavdi",1,0.0023,,,,,,,none,0,,"Rebbi Zevadiah, the son of Rebbi Jacob bar Zavdi"
991,R' Binyamin ben Yephet,1,0.0023,,,,,,,none,0,,Rebbi Benjamin ben Yephet
992,R' Shmuel bar Ḥalafta,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Ḥalaphta
993,R' Natan bar Tobi,1,0.0023,,,,,,,none,0,,Rebbi Nathan bar Ṭobi
994,"R' Abba, the son of R' Pappai",1,0.0023,,,,,,,none,0,,"Rebbi Abba, the son of Rebbi Pappai"
995,R' Yudan the Kappadokian,1,0.0023,,,,,,,none,0,,Rebbi Yudan the Kappadokian
996,R' Neḥoniah ben Haqqanah,1,0.0023,,,,,,,none,0,,Rebbi Neḥoniah ben Haqqanah
997,R' Yudan Antoraya,1,0.0023,,,,,,,none,0,,Rebbi Yudan Antoraya
998,R' Tanḥum bar Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum bar Ḥanina
999,R' Avdimi from Ḥaifa,1,0.0023,,,,,,,none,0,,Rebbi Eudaimon from Ḥaifa
1000,R' Ḥananiah bar Pappus,1,0.0023,,,,,,,none,0,,Rebbi Ḥananiah bar Pappus
1001,R' Aḥava the son of R' Ze'ira,1,0.0023,,,,,,,none,0,,Rebbi Aḥawa the son of Rebbi Zeïra
1002,"R' Yudan, the son of R' Ayvu",1,0.0023,,,,,,,none,0,,"Rebbi Yudan, the son of Rebbi Ayvu"
1003,R' Ḥanina from Ein,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina from Ein
1004,the son of Beör,1,0.0023,,,,,,,none,0,,the son of Beör
1005,R' Tanḥuma from Edreï,1,0.0023,,,,,,,none,0,,Rebbi Tanḥuma from Edreï
1006,R' Tanḥum from Edreï,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum from Edreï
1007,R' Elazar ben R' Hoshaiah,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Rebbi Hoshaiah
1008,ben R' Simai,1,0.0023,,,,,,,none,0,,ben Rebbi Simai
1009,R' Yehudah ben Pazy,1,0.0023,,,,,,,none,0,,Rebbi Judah ben Pazy
1010,R' Tanḥuma ben R' Ḥiyya,1,0.0023,,,,,,,none,0,,Rebbi Tanḥuma ben Rebbi Ḥiyya
1011,Abbaye ben R' Binyamin,1,0.0023,,,,,,,none,0,,Abbaye ben Rebbi Benjamin
1012,the son of Rabban,1,0.0023,,,,,,,none,0,,the son of Rabban
1013,R' Shmuel ben R' Naḥmani,1,0.0023,R' Shmuel bar Naḥmani,136,0.1918,,,,exact,100,,Rebbi Samuel ben Rebbi Naḥmani
1014,R' Ḥiyya bar Pappus,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Pappus
1015,R' Yitzḥak bar Mari,1,0.0023,,,,,,,none,0,,Rebbi Isaac bar Mari
1016,Kahana bar Malkiah,1,0.0023,,,,,,,none,0,,Cahana bar Malkiah
1017,Bar Marina,1,0.0023,,,,,,,none,0,,Bar Marina
1018,R' Yitzḥak the Great,1,0.0023,,,,,,,none,0,,the great Rebbi Isaac
1019,Rav Ḥaggai,1,0.0023,,,,,,,none,0,,Rav Ḥaggai
1020,R' Ḥanina bar Sisai,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina bar Sisai
1021,"R' Abba, the son of R' Ḥaggai",1,0.0023,,,,,,,none,0,,"Rebbi Abba, the son of Rebbi Ḥaggai"
1022,Yitzḥak bar Abba from Meḥasiah,1,0.0023,,,,,,,none,0,,Isaac bar Abba from Meḥasiah
1023,R' Thaddeus,1,0.0023,,,,,,,none,0,,Rebbi Thaddeus
1024,R' Yitzḥak ben Elyashib,1,0.0023,,,,,,,none,0,,Rebbi Isaac ben Elyashib
1025,Rav Ḥanan,1,0.0023,R' Ḥanan,14,0.0197,,,,exact,100,,Rav Ḥanan
1026,Aninia bar Sisai,1,0.0023,,,,,,,none,0,,Aninia bar Sisai
1027,Rav Shmuel bar Shilat,1,0.0023,,,,,,,none,0,,Rav Samuel bar Shilat
1028,R' Jose the Galilean,1,0.0023,,,,,,,none,0,,Rebbi Jose the Galilean
1029,Rav Hiyya bar Ashi,1,0.0023,R' Ḥiyya bar Ashi,14,0.0197,,,,exact,100,,Rav Hiyya bar Ashi
1030,R' Yosi,1,0.0023,R' Yosei,1592,2.2458,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%99%D7%95%D7%A1%D7%99,רבי יוסי,Q982075,fuzzy_edit,45,"lev=1 key=""yosi""→""yose""",Rebbi Yosi
1031,R' Elazar bar Yosef,1,0.0023,,,,,,,none,0,,Rebbi Eleazar bar Joseph
1032,R' Vivan,1,0.0023,,,,,,,none,0,,Rebbi Vivan
1033,"R' Elazar, the son of R' Tzadoq",1,0.0023,,,,,,,none,0,,"Rebbi Eleazar, the son of Rebbi Ẓadoq"
1034,ben Shimon,1,0.0023,,,,,,,none,0,,ben Simon
1035,Bar Nazira,1,0.0023,,,,,,,none,0,,Bar Nazira
1036,"R' Ze'ira, the son of R' Abbahu",1,0.0023,,,,,,,none,0,,"Rebbi Zeïra, the son of Rebbi Abbahu"
1037,"R' Yehudah, the son of R' Shimon",1,0.0023,"R' Shimon, son of R'",32,0.0451,,,,token_subset,93,"key=""yehuda son of shimon"" ⊆ bavli=""shimon son of""","Rebbi Yehudah, the son of Rebbi Simon"
1038,R' Oshaia,1,0.0023,Rav Oshaya,55,0.0776,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%95%D7%A9%D7%A2%D7%99%D7%90,רב אושעיא,Q5907959,fuzzy_edit,45,"lev=1 key=""oshaia""→""oshaya""",Rebbi Oshaia
1039,R' Yehudah bar Shimon,1,0.0023,,,,,,,none,0,,Rebbi Yehudah bar Simon
1040,R' Eviathar,1,0.0023,,,,,,,none,0,,Rebbi Eviathar
1041,"R' Ze'ira, son of R' Abbahu",1,0.0023,,,,,,,none,0,,"Rebbi Zeīra, son of Rebbi Abbahu"
1042,"R' Yose, son of R' Abun",1,0.0023,,,,,,,none,0,,"Rebbi Yose, son of Rebbi Abun"
1043,ben Zoma,1,0.0023,Ben Zoma,25,0.0353,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%96%D7%95%D7%9E%D7%90,בן זומא,Q816598,exact,100,,ben Zoma
1044,R' Yudan ben Shalom,1,0.0023,,,,,,,none,0,,Rebbi Yudan ben Shalom
1045,ben Mosheh,1,0.0023,,,,,,,none,0,,ben Mosheh
1046,ben Manasseh,1,0.0023,,,,,,,none,0,,ben Manasseh
1047,R' Yose bar Nahorai,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Nahorai
1048,R' Lewi,1,0.0023,Levi,213,0.3005,https://he.wikipedia.org/wiki/%D7%9C%D7%95%D7%99_%D7%91%D7%A8_%D7%A1%D7%99%D7%A1%D7%99,לוי בר סיסי,Q2897998,fuzzy_edit,45,"lev=1 key=""lewi""→""levi""",Rebbi Lewi
1049,R' Yannai ben Yishmael,1,0.0023,,,,,,,none,0,,Rebbi Yannai ben Ismael
1050,R' Yishmael ben Elazar,1,0.0023,,,,,,,none,0,,Rebbi Ismael ben Eleazar
1051,father of R' Abba,1,0.0023,,,,,,,none,0,,father of Rebbi Abba
1052,Yose ben Nehorai,1,0.0023,,,,,,,none,0,,Yose ben Nehorai
1053,R' Tanḥuma ben Yehudah,1,0.0023,,,,,,,none,0,,Rebbi Tanḥuma ben Yehudah
1054,R' Yudan bar Pelaya,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Pelaya
1055,Shimon ben Azai,1,0.0023,,,,,,,none,0,,Simeon ben Azai
1056,R' Chelbo,1,0.0023,R' Ḥelbo,35,0.0494,,,,fuzzy_edit,45,"lev=1 key=""chelbo""→""helbo""",Rebbi Chelbo
1057,R' Abba bar Illai,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Ilaï
1058,R' Yose ben Gezirah,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Gezirah
1059,Rav Ḥabiba,1,0.0023,Rabba,969,1.3669,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%94_%D7%91%D7%A8_%D7%A0%D7%97%D7%9E%D7%A0%D7%99,רבה בר נחמני,Q360557,fuzzy_edit,30,"lev=2 key=""habiba""→""rabba""",Rav Ḥabiba
1060,R' Yeshebab,1,0.0023,R' Yeshevav,13,0.0183,,,,fuzzy_edit,30,"lev=2 key=""yeshebab""→""yeshevav""",Rebbi Yeshebab
1061,Bezalel ben Uri,1,0.0023,,,,,,,none,0,,Bezalel ben Uri
1062,R' Yohanan bar Maria,1,0.0023,,,,,,,none,0,,Rebbi Johanan bar Maria
1063,father of R' Abba bar Mari,1,0.0023,,,,,,,none,0,,father of Rebbi Abba bar Mari
1064,Bar Ḥovez,1,0.0023,,,,,,,none,0,,Bar Ḥovez
1065,R' Nehemiaḥ bar Ukban,1,0.0023,,,,,,,none,0,,Rebbi Nehemiaḥ bar Uqban
1066,R' Hanan,1,0.0023,R' Ḥanan,14,0.0197,,,,exact,100,,Rebbi Hanan
1067,the father of R' Shimon,1,0.0023,,,,,,,none,0,,the father of Rebbi Simeon
1068,R' Shimon from Mitzpah,1,0.0023,,,,,,,none,0,,Rebbi Simeon from Miẓpah
1069,Naḥum the scribe,1,0.0023,,,,,,,none,0,,Naḥum the scribe
1070,R' Hoshaya ben Shammai,1,0.0023,,,,,,,none,0,,Rebbi Hoshaia ben Shammai
1071,R' Yudan bar Pazi from Bar,1,0.0023,,,,,,,none,0,,R. Judan bar Pazi from Bar
1072,R' Gurin,1,0.0023,,,,,,,none,0,,Rebbi Gurin
1073,Rav Taḥlifa,1,0.0023,,,,,,,none,0,,Rav Taḥlifa
1074,R' Abbahu bar Naggari,1,0.0023,,,,,,,none,0,,Rebbi Abbahu bar Naggari
1075,R' Avinah,1,0.0023,R' Avina,16,0.0226,,,,fuzzy_edit,45,"lev=1 key=""avinah""→""avina""",Rebbi Avinah
1076,Rav Periri,1,0.0023,,,,,,,none,0,,Rav Periri
1077,R' Eleazer from the South,1,0.0023,,,,,,,none,0,,Rebbi Eleazer from the South
1078,R' Abba bar Abba bar Mamal,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Abba bar Mamal
1079,the father of Rabbi Oshaia,1,0.0023,,,,,,,none,0,,the father of Rabbi Oshaia
1080,R' Ḥinena bar Pappai,1,0.0023,,,,,,,none,0,,Rebbi Ḥinena bar Pappai
1081,"R' Shimon, the son of R' Abba",1,0.0023,"R' Shimon, son of R'",32,0.0451,,,,token_subset,93,"key=""shimon son of abba"" ⊆ bavli=""shimon son of""","Rebbi Simeon, the son of Rebbi Abba"
1082,R' Neḥumai,1,0.0023,R' Nehorai,23,0.0324,,,,fuzzy_edit,30,"lev=2 key=""nehumai""→""nehorai""",Rebbi Neḥumai
1083,R' Ya'akov bar Aḥa bar Idi,1,0.0023,,,,,,,none,0,,Rebbi Jacob bar Aḥa bar Idi
1084,R' Alexander from Tzedoqa,1,0.0023,,,,,,,none,0,,Rebbi Alexander from Ẓedoqa
1085,Yehoshua ben Zeruz,1,0.0023,,,,,,,none,0,,Joshua ben Zeruz
1086,R' Yose of Kefar,1,0.0023,,,,,,,none,0,,Rebbi Yose of Kefar
1087,R' Shimon ben Zachariah,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Zachariah
1088,Ḥananiah ben Shmuel,1,0.0023,,,,,,,none,0,,Ḥananiah ben Samuel
1089,Ḥiyya ben R' Abun,1,0.0023,,,,,,,none,0,,Ḥiyya ben Rebbi Abun
1090,R' Shimon from Carsan,1,0.0023,,,,,,,none,0,,Rebbi Simeon from Carsan
1091,R' Taypha the Red,1,0.0023,,,,,,,none,0,,Rebbi Taypha the Red
1092,R' Ḥiyya bar Abin,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Abin
1093,Bar Ḥaqulah,1,0.0023,,,,,,,none,0,,Bar Ḥaqulah
1094,R' Abba bar Huna,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Huna
1095,R' Elazar ben Yehudah from Bartota,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Jehudah from Bartota
1096,"R' Abba, son of R' Ḥiyya",1,0.0023,"R' Abba, son of R' Ḥiyya bar Abba",16,0.0226,,,,token_subset,94,"key=""abba son of hiyya"" ⊆ bavli=""abba son of hiyya ben abba""","Rebbi Abba, son of Rebbi Ḥiyya"
1097,"R' Ḥanina, the son of R' Abbahu",1,0.0023,,,,,,,none,0,,"Rebbi Ḥanina, the son of Rebbi Abbahu"
1098,the father of R' Mattania,1,0.0023,,,,,,,none,0,,the father of Rebbi Mattania
1099,R' Levinti,1,0.0023,,,,,,,none,0,,Rebbi Levinti
1100,R' Dositheos the son of R' Yannai,1,0.0023,,,,,,,none,0,,Rebbi Dositheos the son of Rebbi Yannai
1101,R' Yudan bar Menasheh,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Menasheh
1102,the son of R' Avi,1,0.0023,,,,,,,none,0,,the son of Rebbi Avi
1103,Abba Yose ben Yoḥanan from Yanoaḥ,1,0.0023,,,,,,,none,0,,Abba Yose ben Joḥanan from Yanoaḥ
1104,R' Gamliel,1,0.0023,Rabban Gamliel,406,0.5727,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9C_%D7%94%D7%96%D7%A7%D7%9F,רבן גמליאל הזקן,Q310584,exact,100,,Rebbi Gamliel
1105,R' Shmuel bar Abin,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Abin
1106,R' Yose bar Zemina,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Zemina
1107,R' Yose ben Zabida,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Zabida
1108,R' Ḥinena bar Papa,1,0.0023,,,,,,,none,0,,Rebbi Ḥinena bar Papa
1109,R' Yishmael from Kefar,1,0.0023,,,,,,,none,0,,Rebbi Ismael from Kefar
1110,R' Hoshiah bar Shammai,1,0.0023,,,,,,,none,0,,Rebbi Hoshiah bar Shammai
1111,brother of R' Yose,1,0.0023,,,,,,,none,0,,brother of Rebbi Yose
1112,R' Yose the son of R' Abun,1,0.0023,,,,,,,none,0,,Rebbi Yose the son of Rebbi Abun
1113,Issi ben Akavia,1,0.0023,,,,,,,none,0,,Issi ben Aqabia
1114,R' Eliezer ben R' Yose,1,0.0023,,,,,,,none,0,,Rebbi Eliezer ben Rebbi Yose
1115,R' Ḥiyya from Biria,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya from Biria
1116,Bar Rishon,1,0.0023,,,,,,,none,0,,Bar Rishon
1117,The father of Rav Safra,1,0.0023,,,,,,,none,0,,The father of Rav Safra
1118,R' Abba bar Zabdi,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Zabdi
1119,father of R' Hoshaya,1,0.0023,,,,,,,none,0,,father of Rebbi Hoshaia
1120,R' Yose ben Kippar,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Kippar
1121,R' Elazar ben Shammua‘,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Shammua‘
1122,R' Yaakov bar Zavdi,1,0.0023,,,,,,,none,0,,Rebbi Yaakov bar Zavdi
1123,R' Yudan bar Guria,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Guria
1124,R' Yose bar Zimra,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Zimra
1125,R' Shimon bar Zevida,1,0.0023,,,,,,,none,0,,Rebbi Simeon bar Zevida
1126,Qish the son of Abi’el,1,0.0023,,,,,,,none,0,,Qish the son of Abi’el
1127,R' Yosah,1,0.0023,,,,,,,none,0,,Rebbi Yosah
1128,R' Yudan bar Pedaiah,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Pedaiah
1129,R' Tanḥum ben Ḥiyya,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum ben Ḥiyya
1130,Bar Sangura,1,0.0023,,,,,,,none,0,,Bar Sangura
1131,R' Shmuel ben Rabbi Yitzḥak,1,0.0023,R' Shmuel bar Rav Yitzḥak,20,0.0282,,,,exact,100,,Rebbi Samuel ben Rabbi Isaac
1132,R' Eviatar from Dama,1,0.0023,,,,,,,none,0,,Rebbi Eviatar from Dama
1133,R' Onias from Ḥauran,1,0.0023,,,,,,,none,0,,Rebbi Onias from Ḥauran
1134,Abba bar Binyamin,1,0.0023,,,,,,,none,0,,Abba bar Benjamin
1135,R' Yehoshaiah,1,0.0023,,,,,,,none,0,,Rebbi Yehoshaiah
1136,R' Vardimos,1,0.0023,,,,,,,none,0,,Rebbi Vardimos
1137,R' Abba Bar Zemina,1,0.0023,,,,,,,none,0,,Rebbi Abba Bar Zemina
1138,bar Yoḥai,1,0.0023,,,,,,,none,0,,bar Ioḥai
1139,R' Yitzḥak bar Redifah,1,0.0023,,,,,,,none,0,,Rebbi Isaac bar Redifah
1140,R' Issa,1,0.0023,,,,,,,none,0,,Rebbi Issa
1141,Abba bar Avin,1,0.0023,,,,,,,none,0,,Abba bar Avin
1142,Eliezer ben Gimel,1,0.0023,,,,,,,none,0,,Eliezer ben Gimel
1143,R' Yoshia the son of R' Yannai,1,0.0023,,,,,,,none,0,,Rebbi Joshia the son of Rebbi Yannai
1144,Bar Patti,1,0.0023,,,,,,,none,0,,Bar Patti
1145,R' Abba bar Ya'akov bar Idi,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Jacob bar Idi
1146,R' Hoshaya bar Shammai,1,0.0023,,,,,,,none,0,,Rebbi Hoshaia bar Shammai
1147,R' Levi bar Ḥina,1,0.0023,,,,,,,none,0,,Rebbi Levi bar Ḥina
1148,R' Ḥanina bar Issi,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina bar Issi
1149,R' Ḥinena the son of R' Hillel,1,0.0023,,,,,,,none,0,,Rebbi Ḥinena the son of Rebbi Hillel
1150,R' Yehudah bar Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Jehudah bar Ḥanina
1151,Rabbi Abin,1,0.0023,R' Avin,78,0.1100,,,,fuzzy_edit,45,"lev=1 key=""abin""→""avin""",Rabbi Abin
1152,Neḥoniah ben Haqanah,1,0.0023,,,,,,,none,0,,Neḥoniah ben Haqanah
1153,R' Ya'akov ben Zavdi,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Zavdi
1154,R' Ḥiyya bar Titus,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Titus
1155,Bar Netoza,1,0.0023,,,,,,,none,0,,Bar Neṭoza
1156,R' Yishmael the son of R' Yoḥanan ben Nuri,1,0.0023,,,,,,,none,0,,Rebbi Ismael the son of Rebbi Joḥanan ben Nuri
1157,R' Shmuel bar Berekhiah,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Berekhiah
1158,Ulla bar Qoshav,1,0.0023,,,,,,,none,0,,Ulla bar Qoshav
1159,Zeir bar Ḥinena,1,0.0023,,,,,,,none,0,,Zeir bar Ḥinena
1160,Queen Zenobia,1,0.0023,,,,,,,none,0,,Queen Zenobia
1161,Zeïr bar Ḥinena,1,0.0023,,,,,,,none,0,,Zeїr bar Ḥinena
1162,Ada bar Gershon,1,0.0023,,,,,,,none,0,,Ada bar Gershon
1163,R' Birai,1,0.0023,,,,,,,none,0,,Rebbi Birai
1164,R' Levi bar Plautus,1,0.0023,,,,,,,none,0,,Rebbi Levi bar Plautus
1165,Rabban Gamliel ben Rabbi,1,0.0023,,,,,,,none,0,,Rabban Gamliel ben Rabbi
1166,the son of R' Yitzḥak,1,0.0023,"Rav Yitzḥak, son of Rav Yehuda",15,0.0212,,,,token_subset,93,"key=""son of yitzhak"" ⊆ bavli=""yitzhak son of yehuda""",the son of Rebbi Isaac
1167,R' Mana ben R' Tanḥum,1,0.0023,,,,,,,none,0,,Rebbi Mana ben Rebbi Tanḥum
1168,R' Yoḥanan bar Maria,1,0.0023,,,,,,,none,0,,Rebbi Joḥanan bar Maria
1169,Yehudah ben Keni,1,0.0023,,,,,,,none,0,,Jehudah ben Keni
1170,R' Paregoros from Caesarea,1,0.0023,,,,,,,none,0,,Rebbi Paregoros from Caesarea
1171,R' Eliezer ben R' Yishmael,1,0.0023,,,,,,,none,0,,Rebbi Eliezer ben Rebbi Ismael
1172,"R' Yudan, the son of R' Yose ben Ḥanina",1,0.0023,,,,,,,none,0,,"Rebbi Yudan, the son of Rebbi Yose ben Ḥanina"
1173,Issy ben Yehudah,1,0.0023,,,,,,,none,0,,Issy ben Jehudah
1174,R' Tanḥum bar Marion,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum bar Marion
1175,R' Shimon ben Barsana,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Barsana
1176,Yonatan ben Ḥarasha from Genezareth,1,0.0023,,,,,,,none,0,,Jonathan ben Ḥarasha from Genezareth
1177,R' Shimon the Pious,1,0.0023,,,,,,,none,0,,Rebbi Simeon the Pious
1178,Nehorai bar Shania,1,0.0023,,,,,,,none,0,,Nehorai bar Shania
1179,The people of Sepphoris,1,0.0023,,,,,,,none,0,,The people of Sepphoris
