rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
770,Abba bar Kahana,2,0.0047,R' Abba bar Kahana,22,0.0310,,,,exact,100,,Abba bar Cahana
771,R' Issac bar Naḥman,2,0.0047,,,,,,,none,0,,Rebbi Issac bar Naḥman
772,R' Yoḥanan ben Dahavai,2,0.0047,,,,,,,none,0,,Rebbi Joḥanan ben Dahavai
773,Yoḥanan ben Zakkai,2,0.0047,Yohanan ben Zakkai,178,0.2511,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%99%D7%95%D7%97%D7%A0%D7%9F_%D7%91%D7%9F_%D7%96%D7%9B%D7%90%D7%99,רבן יוחנן בן זכאי,Q733660,exact,100,,Joḥanan ben Zakkai
774,Abba Shaul ben Botnit,2,0.0047,,,,,,,none,0,,Abba Shaul ben Botnit
775,Rav Oshaia,2,0.0047,Rav Oshaya,55,0.0776,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%95%D7%A9%D7%A2%D7%99%D7%90,רב אושעיא,Q5907959,fuzzy_edit,45,"lev=1 key=""oshaia""→""oshaya""",Rav Oshaia
776,R' Naḥman bar Yitzḥak,2,0.0047,Rav Naḥman bar Yitzḥak,457,0.6447,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%A0%D7%97%D7%9E%D7%9F_%D7%91%D7%A8_%D7%99%D7%A6%D7%97%D7%A7,רב נחמן בר יצחק,Q2124834,exact,100,,Rebbi Naḥman bar Isaac
777,Rav Naḥman bar Yitzḥak,2,0.0047,Rav Naḥman bar Yitzḥak,457,0.6447,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%A0%D7%97%D7%9E%D7%9F_%D7%91%D7%A8_%D7%99%D7%A6%D7%97%D7%A7,רב נחמן בר יצחק,Q2124834,exact,100,,Rav Naḥman bar Isaac
778,R' Abba bar Pappai,2,0.0047,,,,,,,none,0,,Rebbi Abba bar Pappai
779,R' Daniel the son of Rav Qatina,2,0.0047,,,,,,,none,0,,Rebbi Daniel the son of Rav Qatina
780,R' Abba the son of Rav Pappai,2,0.0047,,,,,,,none,0,,Rebbi Abba the son of Rav Pappai
781,Shmuel bar Rav Yitzḥak,2,0.0047,R' Shmuel bar Rav Yitzḥak,20,0.0282,,,,exact,100,,Samuel bar Rav Isaac
782,Shimon bar Ḥiyya,2,0.0047,,,,,,,none,0,,Simeon bar Ḥiyya
783,R' Yustus ben R' Shimon,2,0.0047,,,,,,,none,0,,Rebbi Justus ben Rebbi Simon
784,R' Hamnuna,2,0.0047,Hamnuna,327,0.4613,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%94%D7%9E%D7%A0%D7%95%D7%A0%D7%90,רב המנונא,Q5645913,exact,100,,Rebbi Hamnuna
785,ben R' Shimon,2,0.0047,,,,,,,none,0,,ben Rebbi Simeon
786,R' Abba bar Ḥinena,2,0.0047,,,,,,,none,0,,Rebbi Abba bar Ḥinena
787,R' Tevelai,2,0.0047,,,,,,,none,0,,Rebbi Tevelai
788,Ḥanania bar Akavia,2,0.0047,,,,,,,none,0,,Ḥanania bar Aqabia
789,R' Binyamin,2,0.0047,,,,,,,none,0,,Rebbi Benjamin
790,R' Jacon bar Aḥa,2,0.0047,,,,,,,none,0,,Rebbi Jacon bar Aḥa
791,Bar Nata,2,0.0047,,,,,,,none,0,,Bar Nata
792,Yonatan the son of Saul,2,0.0047,,,,,,,none,0,,Jonathan the son of Saul
793,R' Hillel from Kifra,2,0.0047,,,,,,,none,0,,Rebbi Hillel from Kifra
794,Rav Ḥiyya bar Yosef,2,0.0047,R' Ḥiyya bar Yosef,27,0.0381,,,,exact,100,,Rav Ḥiyya bar Joseph
795,Giddul bar Binyamin,2,0.0047,,,,,,,none,0,,Giddul bar Benjamin
796,R' Yose ben Halaphta,2,0.0047,,,,,,,none,0,,Rebbi Yose ben Halaphta
797,ben Nuri,2,0.0047,,,,,,,none,0,,ben Nuri
798,ben Azzai,2,0.0047,Ben Azzai,84,0.1185,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%A2%D7%96%D7%90%D7%99,בן עזאי,Q601081,exact,100,,ben Azzai
799,R' Yose bar Bevin,2,0.0047,,,,,,,none,0,,Rebbi Yose bar Bevin
800,Rav Yose,2,0.0047,R' Yosei,1592,2.2458,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%99%D7%95%D7%A1%D7%99,רבי יוסי,Q982075,exact,100,,Rav Yose
801,King Agrippas,2,0.0047,,,,,,,none,0,,King Agrippas
802,Ben Bevay,2,0.0047,,,,,,,none,0,,Ben Bevay
803,Shimon ben Lagos,2,0.0047,,,,,,,none,0,,Simeon ben Lagos
804,R' Ḥama ben R' Ḥanina,2,0.0047,R' Ḥama bar Ḥanina,20,0.0282,,,,exact,100,,Rebbi Ḥama ben Rebbi Ḥanina
805,son of David,2,0.0047,,,,,,,none,0,,son of David
806,Abba Yose ben Ḥanin,2,0.0047,,,,,,,none,0,,Abba Yose ben Ḥanin
807,Bar Delaia,2,0.0047,,,,,,,none,0,,Bar Delaia
808,R' Shimon from Mitzpeh,2,0.0047,,,,,,,none,0,,Rebbi Simeon from Mitzpeh
809,Ben Gamia,2,0.0047,,,,,,,none,0,,Ben Gamia
810,R' Pinḥas bar Ḥama,2,0.0047,,,,,,,none,0,,Rebbi Phineas bar Ḥama
811,Ben Qamsar,2,0.0047,,,,,,,none,0,,Ben Qamsar
812,R' Yitzḥak ben Haqula,2,0.0047,,,,,,,none,0,,Rebbi Isaac ben Haqula
813,R' Menahem,2,0.0047,,,,,,,none,0,,Rebbi Menahem
814,R' Ephes,2,0.0047,,,,,,,none,0,,Rebbi Ephes
815,R' Yitzḥak bar Nahman,2,0.0047,,,,,,,none,0,,Rebbi Isaac bar Nahman
816,Ḥinena bar Shelemia,2,0.0047,,,,,,,none,0,,Ḥinena bar Shelemia
