rank,name,normalized_name,count,example_1,example_2,example_3
853,Rebbi Ḥanina ben Beroqa,R' Ḥanina ben Beroqa,2,Yevamot 1:6.7,Kiddushin 4:1.11,
854,Rav Bebai,Rav Bebai,2,Yevamot 1:6.9,Sotah 3:4.9,
855,Rebbi Ḥalaphta from Haifa,R' Ḥalafta from Haifa,2,Yevamot 3:9.3,Gittin 9:3.3,
856,Rebbi Ḥizqyah,R' Ḥizqyah,2,Yevamot 4:11.4,Niddah 1:3.7,
857,Rebbi Abba bar Jeremiah,R' Abba bar Yirmeyah,2,Yevamot 4:11.6,Yevamot 7:5.4,
858,Rebbi Zera,R' Zera,2,Yevamot 8:1.7,Ketubot 1:9.5,
859,Rebbi Jacob from Gebal,R' Ya'akov from Gebal,2,Yevamot 8:2.6,Kiddushin 4:3.3,
860,Rebbi Samuel ben Rebbi Yose ben Rebbi Abun,R' Shmuel ben R' Yose ben R' Abun,2,Yevamot 8:3.8,Kiddushin 4:1.12,
861,Pashḥur ben Immer,Pashḥur ben Immer,2,Yevamot 8:3.11,Kiddushin 4:1.15,
862,Rebbi Yose the Sidonian,R' Yose the Sidonian,2,Yevamot 9:4.4,Ketubot 11:7.3,
863,"Rebbi Ḥananiah, the son of Rebbi Hillel","R' Ḥananiah, the son of R' Hillel",2,Yevamot 10:1.12,Sotah 1:2.10,
864,Rebbi Zevidah,R' Zevidah,2,Yevamot 10:4.2,Gittin 8:6.2,
865,Samuel bar Immi,Shmuel bar Immi,2,Yevamot 10:6.6,Bava Kamma 9:2.2,
866,Gidul bar Miniamin,Gidul bar Miniamin,2,Yevamot 15:6.2,Sotah 6:4.2,
867,Rebbi Judah ben Baba,R' Yehudah ben Baba,2,Yevamot 16:3.1,Yevamot 16:3.7,
868,Jehudah ben Baba,Yehudah ben Baba,2,Yevamot 16:7.1,,
869,Rebbi Naḥman ben Jacob,R' Naḥman ben Ya'akov,2,Ketubot 2:2.3,Bava Batra 3:4.2,
870,Rav Ḥama,Rav Ḥama,2,Ketubot 2:9.4,Kiddushin 3:9.2,
871,Rebbi Ḥiyya bar Yosef,R' Ḥiyya bar Yosef,2,Ketubot 2:9.6,Sotah 1:3.4,
872,Rebbi Jehudah ben Ḥananiah,R' Yehudah ben Ḥananiah,2,Ketubot 4:8.3,Ketubot 4:8.4,
873,Rebbi Radifa,R' Radifa,2,Ketubot 7:7.5,Kiddushin 2:4.5,
874,Rebbi Ḥanina ben Aqiba,R' Ḥanina ben Akiva,2,Ketubot 8:2.1,Ketubot 8:2.2,
875,Yose ben Yo‘ezer from Ṣereda,Yose ben Yo‘ezer from Tzereda,2,Ketubot 8:11.5,Sotah 9:10.1,
876,Rebbi Levi bar Ḥaita,R' Levi bar Ḥaita,2,Ketubot 9:1.4,Sotah 7:1.5,
877,Rebbi Jehuda the Prince,R' Yehudah the Prince,2,Ketubot 9:2.2,,
878,Bar Tapqan,Bar Tapqan,2,Ketubot 10:5.3,,
879,Rav Mattaniah,Rav Mattaniah,2,Ketubot 10:6.2,Sanhedrin 1:2.21,
880,Rebbi Reuben,R' Reuben,2,Ketubot 11:7.5,Sanhedrin 1:1.12,
881,Rav Ze‘ira,Rav Ze'ira,2,Ketubot 13:3.6,Bava Kamma 5:4.3,
882,Pappos ben Jehudah,Pappos ben Yehudah,2,Sotah 1:7.3,Kiddushin 4:4.2,
883,Ben Barakhel,Ben Barakhel,2,Sotah 5:6.3,,
884,Yose ben Yoezer from Ṣereda,Yose ben Yoezer from Tzereda,2,Sotah 9:10.3,,
