rank,name,normalized_name,count,example_1,example_2,example_3
1048,Rebbi Yose ben Gezirah,R' Yose ben Gezirah,1,Berakhot 9:5.19,,
1049,Rav Ḥabiba,Rav Ḥabiba,1,Peah 1:1.14,,
1050,Rebbi Yeshebab,R' Yeshebab,1,Peah 1:1.16,,
1051,Rebbi Johanan bar Maria,R' Yohanan bar Maria,1,Peah 1:1.20,,
1052,father of Rebbi Abba bar Mari,father of R' Abba bar Mari,1,Peah 1:1.35,,
1053,Bar Ḥovez,Bar Ḥovez,1,Peah 1:1.45,,
1054,Rebbi Nehemiaḥ bar Uqban,R' Nehemiaḥ bar Ukban,1,Peah 1:5.2,,
1055,Rebbi Hanan,R' Hanan,1,Peah 1:5.6,,
1056,the father of Rebbi Simeon,the father of R' Shimon,1,Peah 1:5.6,,
1057,Rebbi Simeon from Miẓpah,R' Shimon from Mitzpah,1,Peah 2:4.1,,
1058,Rebbi Hoshaia ben Shammai,R' Hoshaya ben Shammai,1,Peah 2:5.3,,
1059,R. Judan bar Pazi from Bar,R' Yudan bar Pazi from Bar,1,Peah 3:7.12,,
1060,Rebbi Gurin,R' Gurin,1,Peah 3:7.16,,
1061,Rav Taḥlifa,Rav Taḥlifa,1,Peah 4:7.3,,
1062,Rebbi Abbahu bar Naggari,R' Abbahu bar Naggari,1,Peah 5:4.4,,
1063,Rebbi Avinah,R' Avinah,1,Peah 5:7.2,,
1064,Rav Periri,Rav Periri,1,Peah 7:3.12,,
1065,Rebbi Eleazer from the South,R' Eleazer from the South,1,Peah 8:2.3,,
1066,Rebbi Abba bar Abba bar Mamal,R' Abba bar Abba bar Mamal,1,Peah 8:5.5,,
1067,Rebbi Ilaī,R' Illai,1,Peah 8:5.5,,
1068,the father of Rabbi Oshaia,the father of Rabbi Oshaia,1,Peah 8:8.7,,
1069,Rebbi Ḥinena bar Pappai,R' Ḥinena bar Pappai,1,Peah 8:8.8,,
1070,"Rebbi Simeon, the son of Rebbi Abba","R' Shimon, the son of R' Abba",1,Demai 1:1.7,,
1071,Rebbi Yose the Great,R' Yose the Great,1,Demai 1:1.15,,
1072,Rebbi Neḥumai,R' Neḥumai,1,Demai 1:2.5,,
1073,Rebbi Ze'ira,R' Ze'ira,1,Demai 1:3.23,,
1074,Rebbi Jacob bar Aḥa bar Idi,R' Ya'akov bar Aḥa bar Idi,1,Demai 1:4.5,,
1075,Rebbi Alexander from Ẓedoqa,R' Alexander from Tzedoqa,1,Demai 2:1.4,,
1076,Joshua ben Zeruz,Yehoshua ben Zeruz,1,Demai 2:1.11,,
1077,Rebbi Yose of Kefar,R' Yose of Kefar,1,Demai 2:1.13,,
1078,Rebbi Simeon ben Zachariah,R' Shimon ben Zachariah,1,Demai 2:1.15,,
1079,Rebbi Abba bar Kahana,R' Abba bar Kahana,1,Demai 2:1.20,,
1080,Ḥananiah ben Samuel,Ḥananiah ben Shmuel,1,Demai 2:1.21,,
1081,Ḥiyya ben Rebbi Abun,Ḥiyya ben R' Abun,1,Demai 2:3.8,,
1082,Rebbi Simeon from Carsan,R' Shimon from Carsan,1,Demai 3:1.10,,
1083,Rebbi Taypha the Red,R' Taypha the Red,1,Demai 3:4.3,,
1084,Rebbi Ḥiyya bar Abin,R' Ḥiyya bar Abin,1,Demai 3:4.6,,
1085,Bar Ḥaqulah,Bar Ḥaqulah,1,Demai 4:1.8,,
1086,Rebbi Abba bar Huna,R' Abba bar Huna,1,Demai 4:3.2,,
1087,Rebbi Eleazar ben Jehudah from Bartota,R' Elazar ben Yehudah from Bartota,1,Demai 5:1.2,,
1088,"Rebbi Abba, son of Rebbi Ḥiyya","R' Abba, son of R' Ḥiyya",1,Demai 5:1.4,,
1089,Rebbi Judah ben Levi,R' Yehudah ben Levi,1,Demai 5:8.8,,
1090,"Rebbi Ḥanina, the son of Rebbi Abbahu","R' Ḥanina, the son of R' Abbahu",1,Demai 6:1.5,,
1091,the father of Rebbi Mattania,the father of R' Mattania,1,Demai 7:4.4,,
1092,Rebbi Levinti,R' Levinti,1,Demai 7:7.5,,
1093,Rebbi Dositheos the son of Rebbi Yannai,R' Dositheos the son of R' Yannai,1,Demai 7:7.6,,
1094,Rebbi Yudan bar Menasheh,R' Yudan bar Menasheh,1,Kilayim 1:2.2,,
1095,the son of Rebbi Avi,the son of R' Avi,1,Kilayim 1:2.4,,
1096,Rebbi Eleazar ben Taddeus,R' Elazar ben Taddeus,1,Kilayim 1:9.3,,
1097,Rebbi Zeīra,R' Ze'ira,1,Kilayim 2:3.3,,
1098,Rebbi Jonathan ben Yose,R' Yonatan ben Yose,1,Kilayim 2:6.9,,
1099,Rebbi Gamliel,R' Gamliel,1,Kilayim 2:8.8,,
1100,Rebbi Samuel bar Sisarṭa,R' Shmuel bar Sisarta,1,Kilayim 3:1.2,,
1101,Rebbi Samuel bar Abin,R' Shmuel bar Abin,1,Kilayim 3:2.4,,
1102,Rebbi Yose bar Zemina,R' Yose bar Zemina,1,Kilayim 4:4.3,,
1103,Rebbi Yose ben Zabida,R' Yose ben Zabida,1,Kilayim 5:1.4,,
1104,Rebbi Ḥinena bar Papa,R' Ḥinena bar Papa,1,Kilayim 5:7.5,,
1105,Rebbi Ismael from Kefar,R' Yishmael from Kefar,1,Kilayim 6:3.1,,
1106,Rebbi Hoshiah bar Shammai,R' Hoshiah bar Shammai,1,Kilayim 6:3.2,,
1107,brother of Rebbi Yose,brother of R' Yose,1,Kilayim 6:4.4,,
1108,Rebbi Yose the son of Rebbi Abun,R' Yose the son of R' Abun,1,Kilayim 7:1.3,,
1109,Issi ben Aqabia,Issi ben Akavia,1,Kilayim 8:2.3,,
1110,Rebbi Eliezer ben Rebbi Yose,R' Eliezer ben R' Yose,1,Kilayim 8:2.4,,
1111,Rebbi Ḥiyya from Biria,R' Ḥiyya from Biria,1,Kilayim 9:3.16,,
1112,Bar Rishon,Bar Rishon,1,Kilayim 9:4.5,,
1113,The father of Rav Safra,The father of Rav Safra,1,Kilayim 9:4.6,,
1114,Rebbi Abba bar Zabdi,R' Abba bar Zabdi,1,Sheviit 1:5.3,,
1115,father of Rebbi Hoshaia,father of R' Hoshaya,1,Sheviit 2:2.5,,
1116,Rebbi Yaakov bar Zavdi,R' Yaakov bar Zavdi,1,Sheviit 2:3.5,,
1117,Rebbi Yudan bar Guria,R' Yudan bar Guria,1,Sheviit 2:3.5,,
1118,Rebbi Yose bar Zimra,R' Yose bar Zimra,1,Sheviit 2:4.2,,
1119,Rebbi Simeon bar Zevida,R' Shimon bar Zevida,1,Sheviit 2:5.9,,
1120,Rebbi Yosah,R' Yosah,1,Sheviit 4:1.6,,
1121,Rebbi Yudan bar Pedaiah,R' Yudan bar Pedaiah,1,Sheviit 5:1.4,,
1122,Rebbi Tanḥum ben Ḥiyya,R' Tanḥum ben Ḥiyya,1,Sheviit 6:1.7,,
1123,Bar Sangura,Bar Sangura,1,Sheviit 6:1.9,,
1124,Rebbi Samuel ben Rabbi Isaac,R' Shmuel ben Rabbi Yitzḥak,1,Sheviit 6:1.14,,
1125,Rebbi Eviatar from Dama,R' Eviatar from Dama,1,Sheviit 6:1.15,,
1126,Rebbi Onias from Ḥauran,R' Onias from Ḥauran,1,Sheviit 6:1.15,,
1127,Rebbi Simon ben Laqish,R' Shimon ben Lakish,1,Sheviit 6:1.19,,
1128,Abba bar Benjamin,Abba bar Binyamin,1,Sheviit 6:3.5,,
1129,Rebbi Yehoshaiah,R' Yehoshaiah,1,Sheviit 7:1.15,,
1130,Rebbi Vardimos,R' Vardimos,1,Sheviit 8:5.5,,
1131,Rebbi Abba Bar Zemina,R' Abba Bar Zemina,1,Sheviit 9:1.8,,
1132,bar Ioḥai,bar Yoḥai,1,Sheviit 9:1.13,,
1133,Rebbi Isaac bar Redifah,R' Yitzḥak bar Redifah,1,Sheviit 9:4.3,,
1134,Rebbi Issa,R' Issa,1,Terumot 1:1.18,,
1135,Abba bar Avin,Abba bar Avin,1,Terumot 1:4.3,,
1136,Rebbi Joshia the son of Rebbi Yannai,R' Yoshia the son of R' Yannai,1,Terumot 2:1.13,,
1137,Bar Patti,Bar Patti,1,Terumot 2:2.5,,
1138,Rebbi Abba bar Jacob bar Idi,R' Abba bar Ya'akov bar Idi,1,Terumot 3:1.6,,
1139,Rebbi Hoshaia bar Shammai,R' Hoshaya bar Shammai,1,Terumot 3:3.8,,
1140,Rebbi Levi bar Ḥina,R' Levi bar Ḥina,1,Terumot 4:3.3,,
1141,Rebbi Ḥanina bar Issi,R' Ḥanina bar Issi,1,Terumot 4:3.4,,
1142,Rebbi Ḥinena the son of Rebbi Hillel,R' Ḥinena the son of R' Hillel,1,Terumot 4:5.2,,
1143,Rebbi Jehudah bar Ḥanina,R' Yehudah bar Ḥanina,1,Terumot 5:2.2,,
1144,Rabbi Abin,Rabbi Abin,1,Terumot 6:3.3,,
1145,Rebbi Jacob ben Zavdi,R' Ya'akov ben Zavdi,1,Terumot 8:1.7,,
1146,Rebbi Ḥiyya bar Titus,R' Ḥiyya bar Titus,1,Terumot 8:3.6,,
1147,Bar Neṭoza,Bar Netoza,1,Terumot 8:3.8,,
1148,Rebbi Ḥiyya the Great,R' Ḥiyya the Great,1,Terumot 8:3.25,,
1149,Rebbi Ilaї,R' Illai,1,Terumot 8:4.6,,
1150,Rebbi Samuel bar Berekhiah,R' Shmuel bar Berekhiah,1,Terumot 8:4.8,,
1151,Ulla bar Qoshav,Ulla bar Qoshav,1,Terumot 8:4.11,,
1152,Zeir bar Ḥinena,Zeir bar Ḥinena,1,Terumot 8:4.13,,
1153,Queen Zenobia,Queen Zenobia,1,Terumot 8:4.13,,
1154,Zeїr bar Ḥinena,Zeïr bar Ḥinena,1,Terumot 8:4.13,,
1155,Rebbi Ẓadoq,R' Tzadoq,1,Terumot 10:5.1,,
1156,Ada bar Gershon,Ada bar Gershon,1,Terumot 10:6.8,,
1157,Rebbi Birai,R' Birai,1,Terumot 10:6.8,,
1158,Rebbi Levi bar Plautus,R' Levi bar Plautus,1,Terumot 10:6.8,,
1159,Rabban Gamliel ben Rabbi,Rabban Gamliel ben Rabbi,1,Terumot 10:6.8,,
1160,the son of Rebbi Isaac,the son of R' Yitzḥak,1,Terumot 10:6.11,,
1161,Rebbi Mana ben Rebbi Tanḥum,R' Mana ben R' Tanḥum,1,Terumot 11:1.5,,
1162,Rebbi Joḥanan bar Maria,R' Yoḥanan bar Maria,1,Terumot 11:1.5,,
1163,Jehudah ben Keni,Yehudah ben Keni,1,Terumot 11:1.7,,
1164,Rebbi Paregoros from Caesarea,R' Paregoros from Caesarea,1,Terumot 11:2.6,,
1165,Rebbi Eliezer ben Rebbi Ismael,R' Eliezer ben R' Yishmael,1,Terumot 11:2.6,,
1166,"Rebbi Yudan, the son of Rebbi Yose ben Ḥanina","R' Yudan, the son of R' Yose ben Ḥanina",1,Terumot 11:4.12,,
1167,Issy ben Jehudah,Issy ben Yehudah,1,Maasrot 1:1.4,,
1168,Rebbi Tanḥum bar Marion,R' Tanḥum bar Marion,1,Maasrot 1:2.2,,
1169,Rebbi Tanḥum bar Ilaї,R' Tanḥum bar Illai,1,Maasrot 1:2.3,,
1170,Rebbi Simeon ben Barsana,R' Shimon ben Barsana,1,Maasrot 1:2.4,,
1171,Rebbi Simeon the Pious,R' Shimon the Pious,1,Maasrot 1:2.6,,
1172,Rebbi Jacob ben Sisin,R' Ya'akov ben Sisin,1,Maasrot 1:4.6,,
1173,R. Jehudah,R' Yehudah,1,Maasrot 1:4.13,,
1174,Ḥananiah the son of Rebbi Yasa,Ḥananiah the son of R' Yasa,1,Maasrot 1:5.2,,
1175,Issy ben Aqabiah,Issy ben Aqabiah,1,Maasrot 2:4.5,,
1176,Ulla ben Rebbi Ismael,Ulla ben R' Yishmael,1,Maasrot 3:1.2,,
1177,Rebbi Jacob ben Idi,R' Ya'akov ben Idi,1,Maasrot 3:1.2,,
1178,Rebbi Ulla ben Rebbi Ismael,R' Ulla ben R' Yishmael,1,Maasrot 3:1.5,,
1179,Rebbi Jehudah ben Rebbi Ilaї,R' Yehudah ben R' Illai,1,Maasrot 3:1.5,,
1180,Huna bar Ḥinena,Huna bar Ḥinena,1,Maasrot 4:3.2,,
1181,Rav Taḥlifa bar Immi,Rav Taḥlifa bar Immi,1,Maasrot 4:3.2,,
1182,Rebbi Ḥanina bar Papa,R' Ḥanina bar Papa,1,Maasrot 4:4.8,,
1183,Menaḥem ben Maximus,Menaḥem ben Maximus,1,Maasrot 5:3.11,,
1184,Ben Vivian,Ben Vivian,1,Maaser Sheni 1:3.6,,
1185,Rebbi Isaac ben Eliashiv,R' Yitzḥak ben Eliashiv,1,Maaser Sheni 2:2.8,,
1186,Ḥanina ben Haḵiniah,Ḥanina ben Haḵiniah,1,Maaser Sheni 2:4.3,,
1187,Rebbi Eleazar ben Mathia,R' Elazar ben Mathia,1,Maaser Sheni 2:4.3,,
1188,Rebbi Yose ben Hameshullam,R' Yose ben Hameshullam,1,Maaser Sheni 2:4.3,,
1189,Rebbi Simeon ben Menasiah,R' Shimon ben Menasiah,1,Maaser Sheni 2:4.3,,
1190,Rebbi Yudan bar Gadya,R' Yudan bar Gadya,1,Maaser Sheni 4:1.10,,
1191,Rebbi Yose ben Rebbi Simon,R' Yose ben R' Shimon,1,Maaser Sheni 4:2.3,,
1192,Rebbi Inaya bar Sisai,R' Inaya bar Sisai,1,Maaser Sheni 4:3.8,,
1193,Rebbi Abun bar Cohen,R' Abun bar Kohen,1,Maaser Sheni 4:6.5,,
1194,Rebbi Binjamin bar Gidul,R' Binjamin bar Gidul,1,Maaser Sheni 5:3.6,,
1195,Aqiba ben Joseph,Akiva ben Yosef,1,Maaser Sheni 5:3.9,,
1196,Rebbi Huna bar Aḥa,R' Huna bar Aḥa,1,Maaser Sheni 5:5.8,,
1197,Rebbi Alexandros,R' Alexandros,1,Maaser Sheni 5:5.8,,
1198,Mar Zuṭra,Mar Zutra,1,Maaser Sheni 5:5.10,,
1199,Judah ben Patora,Yehudah ben Patora,1,Maaser Sheni 5:5.18,,
1200,Rebbi Aḥava ben Rebbi Zeïra,R' Aḥava ben R' Ze'ira,1,Challah 1:1.3,,
1201,Rabin bar Ḥiyya,Rabin bar Ḥiyya,1,Challah 1:1.27,,
1202,Rebbi Hillel ben Vales,R' Hillel ben Vales,1,Challah 1:3.5,,
1203,Rebbi Samuel ben Martha,R' Shmuel ben Martha,1,Challah 1:3.13,,
1204,Rebbi Ḥananiah ben Agul,R' Ḥananiah ben Agul,1,Challah 1:4.3,,
1205,Bar Lolita,Bar Lolita,1,Challah 2:3.4,,
1206,Rebbi Jacob from Jabul,R' Ya'akov from Jabul,1,Challah 3:1.7,,
1207,Rebbi Samuel from Cappadocia,R' Shmuel from Cappadocia,1,Challah 3:1.7,,
1208,Rebbi Ḥiyya bar Abun,R' Ḥiyya bar Abun,1,Challah 3:2.2,,
1209,Rebbi Yose ben Rebbi Nahorai,R' Yose ben R' Nahorai,1,Challah 3:5.9,,
1210,Rabban Gamliel the son of Rebbi,Rabban Gamliel the son of R',1,Challah 4:4.5,,
1211,Issi ben Aqabiah,Issi ben Aqabiah,1,Challah 4:4.13,,
1212,Rebbi Matthew,R' Matthew,1,Orlah 1:1.9,,
1213,Rebbi Simeon ben Joẓadaq,R' Shimon ben Jotzadaq,1,Orlah 1:1.10,,
1214,Rebbi Isaac bar Ḥaqola,R' Yitzḥak bar Ḥaqola,1,Orlah 1:2.9,,
1215,Rebbi Tryphon,R' Tryphon,1,Orlah 1:3.5,,
1216,Rebbi Yudan bar Ḥanin,R' Yudan bar Ḥanin,1,Orlah 1:3.11,,
1217,Rebbi Zavida,R' Zavida,1,Orlah 1:5.4,,
1218,Rebbi Hanania,R' Hanania,1,Orlah 1:5.9,,
1219,the brother of Rav Berekhia,the brother of Rav Berekhia,1,Orlah 2:1.5,,
1220,Rebbi Curius,R' Curius,1,Orlah 2:2.2,,
1221,the son of Rav Naḥman,the son of Rav Naḥman,1,Orlah 2:3.3,,
1222,Rebbi Avun,R' Avun,1,Orlah 2:9.3,,
1223,Rebbi Aḥa ben Jacob,R' Aḥa ben Ya'akov,1,Orlah 3:1.17,,
1224,Rebbi Ḥanaiah ben Rebbi Hillel,R' Ḥanaiah ben R' Hillel,1,Orlah 3:2.4,,
1225,Cahana bar Jeremiah,Kahana bar Yirmeyah,1,Orlah 3:3.2,,
1226,Rebbi Jehuda ben Rebbi,R' Yehudah ben R',1,Bikkurim 1:3.5,,
1227,bar Astor,bar Astor,1,Bikkurim 1:4.3,,
1228,"Rebbi Abin, the son of Rebbi Tanḥum ben Rebbi Tryphon","R' Abin, the son of R' Tanḥum ben R' Tryphon",1,Bikkurim 2:1.4,,
1229,Rebbi Ḥalafta ben Shaul,R' Ḥalafta ben Shaul,1,Bikkurim 2:1.8,,
1230,the grandson of Rebbi Abbahu,the grandson of R' Abbahu,1,Bikkurim 2:1.9,,
1231,Jehudah bar Ḥiyya,Yehudah bar Ḥiyya,1,Bikkurim 3:3.13,,
1232,Rebbi Zemina,R' Zemina,1,Bikkurim 3:3.19,,
1233,Jehudah ben Titus,Yehudah ben Titus,1,Bikkurim 3:3.19,,
1234,Rav Mattania,Rav Mattania,1,Bikkurim 3:4.6,,
1235,Rebbi Ḥisda,R' Ḥisda,1,Shabbat 1:1.18,,
1236,Bar Justinus,Bar Justinus,1,Shabbat 1:1.24,,
1237,Rebbi Zeˋirah,R' Ze'ira,1,Shabbat 1:1.25,,
1238,Rebbi Ḥananiah the son of Rav Hoshaia,R' Ḥananiah the son of Rav Hoshaya,1,Shabbat 1:2.2,,
1239,Rebbi Derosai,R' Derosai,1,Shabbat 1:2.4,,
1240,Rebbi Misha,R' Misha,1,Shabbat 1:2.8,,
1241,Rebbi Ḥananiah ben Aqiba,R' Ḥananiah ben Akiva,1,Shabbat 1:2.11,,
1242,Rebbi Simeon ben Ḥalafta,R' Shimon ben Ḥalafta,1,Shabbat 1:3.3,,
1243,Ḥananiah ben Ḥizqiah,Ḥananiah ben Ḥizkiah,1,Shabbat 1:4.1,,
1244,Rebbi Zeˋira bar Abinna,R' Ze'ira bar Abinna,1,Shabbat 1:4.16,,
1245,Joseph ben Yoezer from Ṣereda,Yosef ben Yoezer from Tzereda,1,Shabbat 1:4.16,,
1246,Simeon ben Šetaḥ,Shimon ben Šetaḥ,1,Shabbat 1:4.16,,
1247,Rebbi Krispedai,R' Krispedai,1,Shabbat 1:4.17,,
1248,Rav Cahana the son of Rebbi Ḥiyya bar Abba,Rav Kahana the son of R' Ḥiyya bar Abba,1,Shabbat 1:4.17,,
1249,the son of Rebbi Samuel bar Naḥmani,the son of R' Shmuel bar Naḥmani,1,Shabbat 1:4.18,,
1250,Rebbi Simeon ben Barqana,R' Shimon ben Barqana,1,Shabbat 1:8.3,,
1251,Rebbi Bun bar Cahana,R' Bun bar Kahana,1,Shabbat 1:10.2,,
1252,Rebbi Shila from Naveh,R' Shila from Naveh,1,Shabbat 2:5.3,,
1253,Rebbi Simeon ben Rebbi Ṣadoq,R' Shimon ben R' Tzadoq,1,Shabbat 2:5.7,,
1254,Rebbi Aḥai bar Jacob,R' Aḥai bar Ya'akov,1,Shabbat 2:6.4,,
1255,Rebbi Ayvo bar Nagori,R' Ayvo bar Nagori,1,Shabbat 2:6.6,,
1256,Rebbi Yose ben Rebbi Tanḥum from Kefar,R' Yose ben R' Tanḥum from Kefar,1,Shabbat 2:6.9,,
1257,the brother of Rebbi Ḥiyya bar Abba,the brother of R' Ḥiyya bar Abba,1,Shabbat 2:6.9,,
1258,Rebbi Yose ben Qasarta,R' Yose ben Qasarta,1,Shabbat 2:6.11,,
1259,Daniel the son of Rebbi Qaṭina,Daniel the son of R' Qatina,1,Shabbat 3:1.6,,
1260,Rebbi Samuel bar Sisartai,R' Shmuel bar Sisartai,1,Shabbat 3:1.9,,
1261,bar Thaddeus,bar Thaddeus,1,Shabbat 3:1.13,,
1262,Bar Qapprara,Bar Qapprara,1,Shabbat 3:2.2,,
1263,Rebbi Levontin,R' Levontin,1,Shabbat 3:3.9,,
1264,son of Rebbi Ḥiyya bar Abba,son of R' Ḥiyya bar Abba,1,Shabbat 3:4.2,,
1265,Rebbi Sineon,R' Sineon,1,Shabbat 3:7.5,,
1266,Rebbi Aḥa bar Ḥinnena,R' Aḥa bar Ḥinnena,1,Shabbat 3:7.15,,
1267,ben Pazi,ben Pazi,1,Shabbat 4:1.4,,
1268,Rebbi Phineas ben Rebbi Ḥanina,R' Pinḥas ben R' Ḥanina,1,Shabbat 4:1.6,,
1269,Rebbi Joḥanan bar Shila,R' Yoḥanan bar Shila,1,Shabbat 4:1.7,,
1270,Rebbi Jeremiah bar Ḥanina,R' Yirmeyah bar Ḥanina,1,Shabbat 4:1.8,,
1271,Rav Ḥana bar Abba,Rav Ḥana bar Abba,1,Shabbat 4:2.10,,
1272,Ben Ṣeruya,Ben Tzeruya,1,Shabbat 5:1.4,,
1273,Rebbi Aḥa bar Papa,R' Aḥa bar Papa,1,Shabbat 5:2.2,,
1274,Rebbi Yose ben Rebbi Abba,R' Yose ben R' Abba,1,Shabbat 5:2.5,,
1275,Rebbi Qiris,R' Qiris,1,Shabbat 5:4.8,,
1276,Rebbi Iniani bar Sosai,R' Iniani bar Sosai,1,Shabbat 6:1.11,,
1277,Rebbi Hoshea,R' Hoshea,1,Shabbat 6:2.4,,
1278,Rebbi Abba bar Rav Naḥman,R' Abba bar Rav Naḥman,1,Shabbat 6:3.3,,
1279,Ḥanan bar Immi,Ḥanan bar Immi,1,Shabbat 6:5.2,,
1280,Rav Zeˋira,Rav Ze'ira,1,Shabbat 6:5.3,,
1281,Rebbi Aḥa bar Zeˋira,R' Aḥa bar Ze'ira,1,Shabbat 6:9.15,,
1282,Rebbi Jeremiah ben Eleazar,R' Yirmeyah ben Elazar,1,Shabbat 6:9.15,,
1283,Rebbi Levi bar Ḥayta,R' Levi bar Ḥayta,1,Shabbat 6:9.15,,
1284,Rebbi Simon bar Zavda,R' Shimon bar Zavda,1,Shabbat 7:1.3,,
1285,Rebbi Jacob ben Dasai,R' Ya'akov ben Dasai,1,Shabbat 7:1.10,,
1286,Rebbi Ḥanina ben Yaqe,R' Ḥanina ben Yaqe,1,Shabbat 7:2.37,,
1287,Rav Cohen,Rav Kohen,1,Shabbat 7:2.42,,
1288,Rebbi Isaac bar Cahana,R' Yitzḥak bar Kahana,1,Shabbat 8:1.9,,
1289,Rebbi Ḥama bar Gorion,R' Ḥama bar Gorion,1,Shabbat 9:1.2,,
1290,Rebbi Tanḥum from Bostra,R' Tanḥum from Bostra,1,Shabbat 9:2.3,,
1291,Rebbi Banaya,R' Banaya,1,Shabbat 10:6.2,,
1292,Rebbi Abba bar Ḥuna,R' Abba bar Ḥuna,1,Shabbat 11:1.3,,
1293,Rav Ḥuna bar Ḥiyya,Rav Ḥuna bar Ḥiyya,1,Shabbat 12:1.4,,
1294,Rav Avidan,Rav Avidan,1,Shabbat 14:1.5,,
1295,Rebbi Jehudah ben Titus,R' Yehudah ben Titus,1,Shabbat 14:2.3,,
1296,Rebbi Menaḥema,R' Menaḥema,1,Shabbat 14:3.8,,
1297,Rebbi Ḥizqiah from Acco,R' Ḥizkiah from Acco,1,Shabbat 14:4.5,,
1298,the daughter of Domitianus of Tiberias,the daughter of Domitianus of Tiberias,1,Shabbat 14:4.6,,
1299,Jesus ben Pantera,Jesus ben Pantera,1,Shabbat 14:4.8,,
1300,Rebbi Uqban,R' Ukban,1,Shabbat 16:8.3,,
1301,Bar Marinus,Bar Marinus,1,Shabbat 19:1.4,,
1302,Rabbi Samuel ben Eudaimon,Rabbi Shmuel ben Avdimi,1,Shabbat 19:1.6,,
1303,Rav Shishaa,Rav Shishaa,1,Shabbat 19:1.6,,
1304,Rebbi Ada bar Ahavah,R' Ada bar Ahavah,1,Shabbat 19:4.2,,
1305,Rebbi Abbin bar Cahana,R' Abbin bar Kahana,1,Shabbat 20:1.2,,
1306,Abba Shaul ben Botnit,Abba Shaul ben Botnit,1,Shabbat 24:5.1,,
1307,Rebbi Jereniah,R' Jereniah,1,Eruvin 1:1.16,,
1308,Ḥananiah bar Shelemia,Ḥananiah bar Shelemia,1,Eruvin 1:1.21,,
1309,Rebbi Aybun,R' Aybun,1,Eruvin 1:1.24,,
1310,Rebbi Aḥa ben Rebbi Ulla,R' Aḥa ben R' Ulla,1,Eruvin 1:1.25,,
1311,Rebbi Yose ben Rebbi Jehuda,R' Yose ben R' Yehudah,1,Eruvin 1:8.2,,
1312,Rebbi Aḥa the Tanna,R' Aḥa the Tanna,1,Eruvin 1:10.4,,
1313,Rebbi Justus bar Shune,R' Yustus bar Shune,1,Eruvin 1:10.5,,
1314,Rebbi Judah from Anthodriya,R' Yehudah from Anthodriya,1,Eruvin 2:5.5,,
1315,R. Jonathan,R' Yonatan,1,Eruvin 2:7.2,,
1316,Rebbi Samuel ben Rebbi Issac,R' Shmuel ben R' Issac,1,Eruvin 3:1.6,,
1317,Rebbi Isaac of Atosha,R' Yitzḥak of Atosha,1,Eruvin 3:1.6,,
1318,R. Zeˋira,R' Ze'ira,1,Eruvin 3:1.6,,
1319,Rebbi Eleazar the son of Rebbi Yose,R' Elazar the son of R' Yose,1,Eruvin 3:2.5,,
1320,Rebbi ben Rebbi Abun,R' ben R' Abun,1,Eruvin 3:4.5,,
1321,Rebbi Jehudah ben Shalom,R' Yehudah ben Shalom,1,Eruvin 3:5.3,,
1322,Rebbi Jacob the son of Rebbi Aḥa,R' Ya'akov the son of R' Aḥa,1,Eruvin 3:10.2,,
1323,Rebbi Ḥanania ben Antigonos,R' Ḥanania ben Antigonos,1,Eruvin 4:7.1,,
1324,Elisha ben Shafaṭ,Elisha ben Shafat,1,Eruvin 5:1.4,,
1325,Rebbi Yasa bar Aḥa,R' Yasa bar Aḥa,1,Eruvin 5:1.5,,
1326,Ammi bar Ezechiel,Ammi bar Ezechiel,1,Eruvin 5:1.12,,
1327,Rebbi Ḥiyya the son of Rebbi Sabbatai,R' Ḥiyya the son of R' Sabbatai,1,Eruvin 5:1.13,,
1328,Rebbi Jocob bar Aḥa,R' Jocob bar Aḥa,1,Eruvin 5:2.3,,
1329,Rabbi Aḥa,Rabbi Aḥa,1,Eruvin 5:8.3,,
1330,Rebbi Aeneas bar Pazi,R' Aeneas bar Pazi,1,Eruvin 5:8.4,,
1331,Rabbi Mattaniah,Rabbi Mattaniah,1,Eruvin 6:3.6,,
1332,Rebbi Ḥama bar Joseph,R' Ḥama bar Yosef,1,Eruvin 6:4.4,,
1333,Rebbi Boethos,R' Boethos,1,Eruvin 6:4.5,,
1334,Rebbi Aḥawa bar Rebbi Ze`ira,R' Aḥava bar R' Ze'ira,1,Eruvin 6:7.2,,
1335,Abba bar Ḥuna,Abba bar Ḥuna,1,Eruvin 6:7.3,,
1336,Rav Naḥman bar Jehudah,Rav Naḥman bar Yehudah,1,Eruvin 6:8.8,,
1337,Rebbi Isaac bar Ṭevlai,R' Yitzḥak bar Tevlai,1,Eruvin 7:1.5,,
1338,Rebbi Jehusah,R' Jehusah,1,Eruvin 8:4.1,,
1339,Ḥiyya bar Marius,Ḥiyya bar Marius,1,Eruvin 8:9.2,,
1340,Rebbi Aḥiyya,R' Aḥiyya,1,Eruvin 9:2.2,,
1341,the daughter of Saul,the daughter of Saul,1,Eruvin 10:1.4,,
1342,Rabban Aḥa,Rabban Aḥa,1,Eruvin 10:1.6,,
1343,Isaac ben Eleazar,Yitzḥak ben Elazar,1,Eruvin 10:1.8,,
1344,Rebbi Simeion ben Laqish,R' Simeion ben Lakish,1,Eruvin 10:2.3,,
1345,Rebbi Simeon ben Nannas,R' Shimon ben Nannas,1,Eruvin 10:14.1,,
